Name,Country,Date,Content
Sunny C,"Melbourne, Australia",Jan 2021 • Friends,"First time coming here and it was great. got the best seat to watch the sunset. while enjoying view me and my friend ordered a portion of meatball on the beach, it was cheap and quite delicious too. will come again for sure!!"
ChrisThomasTravels,"Ossining, NY",Dec 2019,"One of the most popular beaches in Bali, Double Six Beach attracts crowds of tourists from nearby Kuta, Legian and Seminyak. The waves are mild here - perfect for first time surfers. Plenty of sunchairs to sit on, umbrellas to sit under, and coolers full of beers to sip."
AbramVincentM,"Mottram in Longdendale, UK",Mar 2020,We got amazing sunset here. Nearby double six beach there are plenty of great restaurants. Nice place for swim also.
Eve The Disabled Diva,"Chicago, IL",Aug 2020 • Couples,Great low key beach to surf or watch the sunset. Many beach bars and local small restaurants available. Beware of the sliding costs on loungers or bean bags. Water isn’t turquoise blue but still beautiful
Chelsea B,"Milton Keynes, UK",Aug 2019,The beach was quite busy and as a consequence you'll find lots of people touting things from sunglasses to boat tours but the beach itself was nice and cleaner than some we'd come across.
Finds_posts,"Jakarta, Indonesia",Aug 2019,"a very touristy place. lots of restaurants, gift shops and the water isn't that really clear like in Maldives or Ibiza. foods are very cheap in here"
Wendy F,"Western Australia, Australia",Mar 2020,"Very quiet beach not many touts and massage girls. close shops, bars and restuarants. Long walk to water wear shoes sand very hot"
Udita,3 contributions,May 2019 • Family,Cleaner than seminayk or kuta beach .There are other better beaches in bali than this. Good beach clubs to enjoy closeby like cucoon beach club
Marjut0303,"Vantaa, Finland",Nov 2019 • Friends,"Nice double six beach in Seminyak Bali, worth visiting! Also comfortable sun beds on the beach and the sunsets are amazing colourful! There are some cosy restaurants where to eat; food was excellent!"
Andrew J,2 contributions,Mar 2020 • Couples,10 minute walk from amadea hotel through the back roads lovely beach plenty of sun beds to hire and you can buy cold drinks from them lots of stray dogs but no trouble they just get on with there daily life we also done horse riding on this beach the stables are opposite the annora hotel horses very well looked after we done The Sun set ride
Stefan O,"Malmö, Sweden",Mar 2020,Double Six Beach is a great Beach for all surfers out there to enjoy those Big Waves each and Evert dag!
590biscuit,"Bolton, UK",Mar 2020,"Was disappointed by this beach, dirty, full of cigarette ends etc. Not a sitting beach as sea too rough.Some nice barsthough and a good vibe"
leanneandtony,"Cairns, Australia",Mar 2020,Wide sandy beach which has a surf patrol.The beach is cleaned on a daily basis. Sun lounges and umbrellas are available for hire. Usually about 100000rup for two for the day. Also drinks can be purchased.There is surf. Some days there is a huge amount of plastic waste floating around in the water.For Bali in a tourist area it is a reasonable beach.
Kev,"Cape Town Central, South Africa",Aug 2019,"Very nice beach to take a stroll. Although you get HOUNDED by people trying to sell you things. You don't get left alone for too long, which gets annoying. "
Lilly H,"Sydney, Australia",Feb 2020,"We love Double Six Beach and although we usually stay at a villa nearby we try to go there and maybe have a swim at least once during our stay.There are so many bars and restaurants you can choose from,some with live music and lots of atmosphere "
Adrian B,"Brighton, UK",Feb 2020,"Some nice bars along this beach but the amount of litter washed up was very disappointing, it is an OK beach but it isn't going to wow you "
