Name,Country,Date,Content
Moving Butler,"Nusa Dua, Indonesia",Apr 2021,"everyne walking arounf had no masks on, I seem to be the only dingdong doing so. There was plenty of trash everywhere and this was not becasue of the tourists either. A dog favorite ! This beach is not ready for the reopening of the area to an International market. "
Shree,15 contributions,Mar 2021 • Solo,"It is not as what it used to be, busy and crowded, but so quiet instead. Calm and peaceful sunset but I know many have lost their job. Hope things get better soon"
Chris R,"Surabaya, Indonesia",Dec 2020 • Solo,Always fun when the sun starts to set... seems all of Bali congregates at the beach at the end of the day! Awesome sunsets and dozens of choices for a place to relax for a drink or snack. 
Franky,"Surabaya, Indonesia",Feb 2021 • Friends,"One of the best beach for the enjoying the sunset. But, black sand. The beach in Legian would more recommended.Looking for food: many restaurants in the neighbourhood."
Ajay117,"Surat District, India",Sep 2020,"Seminyak beach is perfect place for morning walk and watching sunset. Not many cafe was open the time we did visit Bali, but its even better as it was clean and not so touristy."
AntioneSNorton,6 contributions,Apr 2020,"Great place to watch sunset, get some cold ones and chill with your partner. It was almost empty due to pandemic time, but as we read usually its very busy, especially for sunset time. Beach is very long, sand is nice and waves were to too big as in Kuta beach. Definitely will recommend to all my friends!"
Sisu1970,"Stuttgart, Germany",Aug 2020,We went to Bali for the duration of three weeks. Ubud was amazing bat Seminyak Beach is just very cool. Take your scooter and visit different places along the coatsline. Cool clubs and nice litte foody places... I do love a sundowner on this beach. Yes.Due Covid19 we unfortunately won`t be able to travel for a while. Keep this lovely island in your heart and just have a look at your photos over and over again. See you soon.
MADHURKJAIN,"Vadodara, India",Oct 2019,Pristine white sandy beach. Ideal place to relax or swim. Located in the vicinity of a chain of high end hotels. Amazing sunset views
Beau I,1 contribution,Jan 2020,"Beautiful sunset, and perfect time to social distancingWe can swim under the sunset before close your day."
ind,"England, UK",Sep 2019,"Arrrrh the beach... this is one place we didn’t list on our agenda when planning our trip, as we’re not particularly beach people who spend time tanning ourselves to a crisp! Writing it off completely was a bit harsh and I wish we had made an exception just this once. Still, we managed a couple of hours toe dipping in the coolness of the sea, watching and listening to the great ocean waves, tingling us with excitement and almost sweeping us in, it was a case of “sand on, stress off” after a 17 hour flight! This was bliss...Seminyak Beach is 10 minutes walk from The Alea hotel, the route is a straight cut through residential area dotted with quaint villas and tropical greenery. The temperatures didn’t hold back, after all it was mid-day when most sun worshippers had crawled back to the luxury of their hotels air con. For us it was great having the beach almost to ourselves.  A few local vendors trying to delight us with their wares, friendly smiley people and a polite “no thank you” will suffice.  We enjoyed moments of peace and calmness, watching swirls of waves coming in and cooling down our roasted feet from the blazing heat of the sand.  The salty sea air and catching an odd glimpse of a surfer conquering a wave added to our fun in the sun.  We spotted crabs popping out from pockets of sand and running into the sea, so well camouflaged.  The longer we spent just walking and gazing at the vastness of the ocean my mindset touched senses one can only dream off in paradise, making me feel alive and regaining my sanity.  The beach is clean, lined with palm trees gently swaying in the breeze and sand so soft you’ll be leaving picture postcard memories and footprints for others to follow. Bars and restaurants setting up for late brunches, we parked ourselves at a cafe,  people watched and took few photos.  We ended our leisurely stroll at a bohemian cafe which looked like one big tropical fruit cocktail, inviting cosy colourful bean bags, low level tables and a signpost with some funky quotes, this was a picture of relaxation, peace and love. The cafe overlooks the ocean where you can get fed and watered enjoying the ambience and I guess a fabulous party vibe in the evening for ‘movers and shakers’, enjoying a few beers and watching an amazing sunset.      Our recommendation: Definitely go for it! all you have to do is press ‘escape’ and you’ll be transported into a world of calmness, ride a wave and let your free spirit run wild, this is therapy on the cheap.  Personally for me, I’ll be putting the beach on future trips, after all what’s not to like?....Indu & Versha."
