review,scores,compound,comp_score
walk arounf mask seem dingdong plenty trash everywhere becasue tourist either dog favorite ready reopen area international market,"{'neg': 0.0, 'neu': 0.744, 'pos': 0.256, 'compound': 0.6705}",0.6705,1
use busy crowd quiet instead calm peaceful sunset know many lose job hope thing get well soon,"{'neg': 0.107, 'neu': 0.476, 'pos': 0.417, 'compound': 0.7783}",0.7783,1
always fun sun start set seem bali congregates end day awesome sunset dozen choice place relax drink snack,"{'neg': 0.0, 'neu': 0.593, 'pos': 0.407, 'compound': 0.8834}",0.8834,1
one best enjoy sunset black sand legian would recommendedlooking food many restaurant neighbourhood,"{'neg': 0.0, 'neu': 0.598, 'pos': 0.402, 'compound': 0.8126}",0.8126,1
seminyak perfect place morning walk watch sunset many cafe open time visit bali even well clean touristy,"{'neg': 0.0, 'neu': 0.622, 'pos': 0.378, 'compound': 0.8176}",0.8176,1
great place watch sunset get cold one chill partner almost empty due pandemic time read usually busy especially sunset time long sand nice wave big kuta definitely recommend friend,"{'neg': 0.038, 'neu': 0.578, 'pos': 0.384, 'compound': 0.9299}",0.9299,1
go bali duration three week ubud amazing bat seminyak cool take scooter visit different place along coatsline cool club nice litte foody place love sundowner yesdue covid19 unfortunately wont able travel keep lovely island heart look photo see soon,"{'neg': 0.045, 'neu': 0.597, 'pos': 0.358, 'compound': 0.9501}",0.9501,1
pristine white sandy ideal place relax swim locate vicinity chain high end hotel amaze sunset view,"{'neg': 0.0, 'neu': 0.57, 'pos': 0.43, 'compound': 0.8689}",0.8689,1
beautiful sunset perfect time social distancingwe swim sunset close day,"{'neg': 0.0, 'neu': 0.513, 'pos': 0.487, 'compound': 0.8225}",0.8225,1
arrrrh one place didnt list agenda plan trip particularly people spend time tan crisp write completely bit harsh wish make exception still manage couple hour toe dip coolness sea watch listen great ocean wave tingle u excitement almost sweep u case sand stress 17 hour flight blissseminyak 10 minute walk alea hotel route straight cut residential area dot quaint villa tropical greenery temperature didnt hold back midday sun worshipper crawl back luxury hotel air con u great almost local vendor try delight u war friendly smiley people polite thank suffice enjoy moment peace calmness watch swirls wave come cool roast foot blaze heat sand salty sea air catch odd glimpse surfer conquer wave add fun sun spot crab pop pocket sand run sea well camouflaged longer spent walk gaze vastness ocean mindset touch sens one dream paradise make feel alive regain sanity clean line palm tree gently sway breeze sand soft youll leave picture postcard memory footprints others follow bar restaurant set late brunch park cafe people watch take photo end leisurely stroll bohemian cafe look like one big tropical fruit cocktail invite cosy colourful bean bag low level table signpost funky quote picture relaxation peace love cafe overlook ocean get feed watered enjoy ambience guess fabulous party vibe even mover shaker enjoy beer watch amazing sunset recommendation definitely go press escape youll transport world calmness ride wave let free spirit run wild therapy cheap personally ill put future trip whats likeindu versha,"{'neg': 0.068, 'neu': 0.604, 'pos': 0.328, 'compound': 0.9977}",0.9977,1
dissapointment nusa dua quiet beach party noicy grouded party night long,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.6597}",0.6597,1
beautiful due tourist bit dirty nothing take away beautiful feel nice shack live singer,"{'neg': 0.123, 'neu': 0.426, 'pos': 0.451, 'compound': 0.8271}",0.8271,1
quite walk hotel still make effort get generally clean although isnt case sea rough long great sandyou rent sun lounger visit several bar restaurant keep fed wateredthe sea get rough lends quite well surf watersports plenty people around teach priceif need get back cheaply use grab camp app really reliable cheap,"{'neg': 0.0, 'neu': 0.839, 'pos': 0.161, 'compound': 0.8479}",0.8479,1
best atmosphere love set 100 umbrellas table large bean bagscushions sit drink light meal serve shore excellent music,"{'neg': 0.0, 'neu': 0.554, 'pos': 0.446, 'compound': 0.9201}",0.9201,1
full sunset every evening good reason wonderful legendary clean year perfect family kid walk ocean safety enjoy end wave adult enjoy big wave many surfschools along beginner masseuse dozen beachbarsrestaurants compete attract customer decent price food drink service summertime 365 day per year boy local always happy wonder living,"{'neg': 0.0, 'neu': 0.585, 'pos': 0.415, 'compound': 0.9806}",0.9806,1
say wet season february early february barely rain lucky see gorgeous sunset couple time,"{'neg': 0.0, 'neu': 0.648, 'pos': 0.352, 'compound': 0.7595}",0.7595,1
disappointed state try go bar allow enter bottled water crisp bag,"{'neg': 0.221, 'neu': 0.643, 'pos': 0.136, 'compound': -0.296}",-0.296,0
fantastic dirty everyone make see odd bit litter nothing like youd expect read review lot pester buy usage sun bed say thank dont stop chat salesman theyre friendly pushy though,"{'neg': 0.221, 'neu': 0.516, 'pos': 0.263, 'compound': 0.4172}",0.4172,1
visit seminyak dinner amaze sunset view many restaurant visit enjoy view,"{'neg': 0.0, 'neu': 0.573, 'pos': 0.427, 'compound': 0.7717}",0.7717,1
awsome swimming bar along seat place like chironguitos seat bean bag watch sunset whilst world pass,"{'neg': 0.0, 'neu': 0.857, 'pos': 0.143, 'compound': 0.3612}",0.3612,1
absolutely love lot lovely bar comfortable lounger lovely sand lot surf great cocktail amaze sunset fabulous party vibe night,"{'neg': 0.0, 'neu': 0.271, 'pos': 0.729, 'compound': 0.9843}",0.9843,1
nothing amaze lot rubbish clean dog eatery give nice feel,"{'neg': 0.186, 'neu': 0.456, 'pos': 0.358, 'compound': 0.3919}",0.3919,1
visit bali stay seminyak january 2020 petitenget total disappointment think bali beach superb petitenget really filthy atractive sand full plastic rubbish hopefully dog poop possibility rent bed actually lay blanket dirty sand yaiks,"{'neg': 0.148, 'neu': 0.69, 'pos': 0.162, 'compound': 0.1531}",0.1531,1
walk seminyak pleasantly surprise lovely peaceful compare madness kuta also chill bar mano great still many big hotel town fairly busy much good option prefer thequiet life,"{'neg': 0.069, 'neu': 0.475, 'pos': 0.456, 'compound': 0.946}",0.946,1
seminyak amaze totally comparable famous caribbean dominican republic beach tour many beach bali seminyak best judgement reasons1 flat2 hard enough run walk mile miles3 expanse area large accommodate thousands4 accessibility easy convenient safe subject stay 5 night time bring amaze g life area restaurant scene6 safety area light,"{'neg': 0.023, 'neu': 0.648, 'pos': 0.329, 'compound': 0.9607}",0.9607,1
nice go late afternoon wasnt crowd clean water clear nice relax experience know pay use lounger people sell thing like sunglass bracelet,"{'neg': 0.113, 'neu': 0.465, 'pos': 0.422, 'compound': 0.8733}",0.8733,1
good fun dayvery strong surf great side eats drink good choice colourful brolly sun lounge hire hourneed towel sarongeveninglovely sunset view book high rise restaurant glam great food sand little coarse okay,"{'neg': 0.0, 'neu': 0.529, 'pos': 0.471, 'compound': 0.9691}",0.9691,1
something havent see daily clean litter dump high ides make much pleasant fir enjoy long walk,"{'neg': 0.208, 'neu': 0.514, 'pos': 0.278, 'compound': 0.3903}",0.3903,1
ok little crowded place surf could little daunt cant swim great plenty space walk little everywhere restaurant bar cold drink bite eatwe really enjoyed time,"{'neg': 0.106, 'neu': 0.708, 'pos': 0.186, 'compound': 0.3609}",0.3609,1
love stay relax chit chat family friends beside double six area sometimes go seminyak spend time family friend really clean ok,"{'neg': 0.0, 'neu': 0.443, 'pos': 0.557, 'compound': 0.9576}",0.9576,1
stay close hot several time nice sand plenty chair great sunset guy rent chair also cheap beer bonus water nothing spectacular big wave real swim wad surf itlots restaurant along,"{'neg': 0.0, 'neu': 0.722, 'pos': 0.278, 'compound': 0.886}",0.886,1
seminyak best place experience breath take bali sunset come life sun go live music bar seat,"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.6369}",0.6369,1
lovely clear water busy best go early morning water cold popular surf location rocky like dreamland south,"{'neg': 0.0, 'neu': 0.43, 'pos': 0.57, 'compound': 0.9423}",0.9423,1
plenty space minimal nil hawkersrecommend learn surf predictable wave big,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1
go club couple drink watch amaze sunset need spend 50 australian day bed basically 4 mixed drink definitely must experience,"{'neg': 0.0, 'neu': 0.733, 'pos': 0.267, 'compound': 0.7351}",0.7351,1
husband stroll along 445pm till sunset 6pm amazing however notice dirty water flow sea certain part along although natural see smelling turn u want play water vigilant watch walk well find break beer bottle shard sand overall beautiful watch cute dog run around bonus,"{'neg': 0.047, 'neu': 0.523, 'pos': 0.43, 'compound': 0.9657}",0.9657,1
come whole life great clean lot hotel etc around aswel bar little warungs great also walk dog,"{'neg': 0.0, 'neu': 0.562, 'pos': 0.438, 'compound': 0.8979}",0.8979,1
lovely friendly lot colourful beanbags opinion even hangout,"{'neg': 0.0, 'neu': 0.462, 'pos': 0.538, 'compound': 0.7906}",0.7906,1
end day watch sun drop ocean sip cocktail spread beanbag must bali itinerary,"{'neg': 0.149, 'neu': 0.851, 'pos': 0.0, 'compound': -0.2732}",-0.2732,0
quiet superb surf laze aroundspectacular sunset great bar musicsunbeds must hot,"{'neg': 0.0, 'neu': 0.523, 'pos': 0.477, 'compound': 0.8481}",0.8481,1
stylish upscale resort enjoy vies water come back sure,"{'neg': 0.0, 'neu': 0.56, 'pos': 0.44, 'compound': 0.6705}",0.6705,1
pretty clean except occasional bit drink bottle leave nice place sunbathe ice cold bintang coconut beware stall charge overpriced drink though check price order sit chair one charge idr200k coconutdo look,"{'neg': 0.08, 'neu': 0.69, 'pos': 0.231, 'compound': 0.7717}",0.7717,1
stay seminyak 3 night soplenty see dowe manage get see shirt walk seminyak squarewe hire sun bed could get 7000 little barter clean much surf daylots place grab bite eat lovely place watch sun set,"{'neg': 0.0, 'neu': 0.837, 'pos': 0.163, 'compound': 0.7369}",0.7369,1
soft sand lot chair heap restaurant bar surf school along sand get hot sun go 8am swim get unbearable lot street dog mostly leave alonebeautiful sunset 6pm reccomend arrive around 530pm take,"{'neg': 0.037, 'neu': 0.963, 'pos': 0.0, 'compound': -0.0516}",-0.0516,0
visit seminyak close villa horrible black sand dog defecate urinate everywhere rubbish blow place wouldnt go back,"{'neg': 0.179, 'neu': 0.821, 'pos': 0.0, 'compound': -0.5423}",-0.5423,0
beautiful one best sunset view point clean good place dive lot side cafe pub one best club bali must visit place,"{'neg': 0.0, 'neu': 0.472, 'pos': 0.528, 'compound': 0.9578}",0.9578,1
many beachfront restaurant choose enjoy watch beautiful sunset eat dinner popular company many celebratory mood contrast early morning walk quiet peaceful,"{'neg': 0.0, 'neu': 0.565, 'pos': 0.435, 'compound': 0.9201}",0.9201,1
watch sunset lot restaurant lot local try sell thing nevertheless still good place chill long romantic walk love one,"{'neg': 0.0, 'neu': 0.62, 'pos': 0.38, 'compound': 0.8689}",0.8689,1
love absolutely little wave im happy small restaurant great service friendly,"{'neg': 0.0, 'neu': 0.319, 'pos': 0.681, 'compound': 0.9426}",0.9426,1
end even stroll along around sunset enjoyedhad want evening mealthere numerous well patronised restaurant could choose clean others like u locals tourist take advantage use lovely spot recreational purpose,"{'neg': 0.0, 'neu': 0.604, 'pos': 0.396, 'compound': 0.9081}",0.9081,1
clean oct november flag day red yellow good play water near shore line surf great swimming could time year really nice sand clean many vendor ask buy something,"{'neg': 0.0, 'neu': 0.551, 'pos': 0.449, 'compound': 0.9509}",0.9509,1
take walk along enjoyed sunset definitely great visit whilst seminyak,"{'neg': 0.0, 'neu': 0.409, 'pos': 0.591, 'compound': 0.8779}",0.8779,1
expensive umbrellachair rental sign say swim prohibit although people ignore still nice scenery,"{'neg': 0.153, 'neu': 0.675, 'pos': 0.172, 'compound': 0.0772}",0.0772,1
beautiful nice breeze see day clean tidy pitiful people sell dont listen tell beautiful clean,"{'neg': 0.113, 'neu': 0.319, 'pos': 0.567, 'compound': 0.9153}",0.9153,1
enjoy stay place condition minimum order start 100kthe difference place higher give exclusive place,"{'neg': 0.0, 'neu': 0.719, 'pos': 0.281, 'compound': 0.5719}",0.5719,1
last time seminyak four year ago cant believe change condition beachclean unclutteredgreat work,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1
great great sun bed surf school side massage day quite sun set place get busy music sunset spectacular,"{'neg': 0.0, 'neu': 0.661, 'pos': 0.339, 'compound': 0.8481}",0.8481,1
come see sun set beautiful white sandy clear water lovely view sunset swing word petitenget ideal instagram drink stall cushion litter like kuta le commercialized one word beautiful,"{'neg': 0.042, 'neu': 0.49, 'pos': 0.469, 'compound': 0.9601}",0.9601,1
nothing well spending sunset grab beanbag cocktail menu great time friend,"{'neg': 0.106, 'neu': 0.467, 'pos': 0.427, 'compound': 0.7569}",0.7569,1
beautiful good could imgined great way walk many resort beachfront restaurant,"{'neg': 0.0, 'neu': 0.423, 'pos': 0.577, 'compound': 0.8979}",0.8979,1
many bed option quiet current strong would suitable young child,"{'neg': 0.0, 'neu': 0.732, 'pos': 0.268, 'compound': 0.5106}",0.5106,1
okay sunbeds really comfy get two sunbeds 3 hour 150k nice restaurant sunset amaze though come however quite touristy sea quite rough careful,"{'neg': 0.0, 'neu': 0.641, 'pos': 0.359, 'compound': 0.8434}",0.8434,1
golden sand palm tree expect sand fine sea dangerous wave current deceive red flag say swim life guard constantly blow whistle get water wave reminiscent posiden adventure,"{'neg': 0.176, 'neu': 0.699, 'pos': 0.125, 'compound': -0.4019}",-0.4019,0
ideal swim current strong wave high plus believe clean either great sunset atmosphere time good bar huts filled people singer highly recommend experience,"{'neg': 0.0, 'neu': 0.47, 'pos': 0.53, 'compound': 0.9595}",0.9595,1
awesome great see swept litter morningwould recommend night musicentertainment plenty bean bag lounge,"{'neg': 0.0, 'neu': 0.483, 'pos': 0.517, 'compound': 0.8934}",0.8934,1
amaze vast great walk time surf quite high get use lady gentleman peddle ware,"{'neg': 0.0, 'neu': 0.612, 'pos': 0.388, 'compound': 0.8225}",0.8225,1
crowd nothing like see sun set ocean yes course well choice see gili island uluwatu wasnt dirty crowd,"{'neg': 0.09, 'neu': 0.6, 'pos': 0.309, 'compound': 0.6244}",0.6244,1
beautiful sunset ever see sit relax cold drink awesome hire deck seat layon lot surfer watch,"{'neg': 0.0, 'neu': 0.544, 'pos': 0.456, 'compound': 0.8979}",0.8979,1
usual asian grey sand warm water feature longer sand base sadly quite dirty,"{'neg': 0.331, 'neu': 0.497, 'pos': 0.171, 'compound': -0.5984}",-0.5984,0
must watch sunset heresandy whole lot crowd still beauty go around 5 pm go earlier though avoid traffic jamyoull see one amazing sunset,"{'neg': 0.076, 'neu': 0.66, 'pos': 0.264, 'compound': 0.7506}",0.7506,1
guess busy beach bali see lot local connect like sanur unlike nusa dua beachits pretty hot october carry ever necessary,"{'neg': 0.0, 'neu': 0.759, 'pos': 0.241, 'compound': 0.6908}",0.6908,1
reality extremely hottheres white sand grey gravel real surfhence one thereplus rubbish everywhere,"{'neg': 0.109, 'neu': 0.803, 'pos': 0.088, 'compound': -0.0772}",-0.0772,0
popular great place watch sunset lot surf go must stay within flag avoid rip current safe plenty food drinking available along,"{'neg': 0.076, 'neu': 0.586, 'pos': 0.338, 'compound': 0.8225}",0.8225,1
geez build big parking building multistorey car park empty land near otherwise sooner later people come bad atmosphere make awesome sunset fullfilled negative atmosphere cause bad traffic around area stop build hotel club stackholders area rethink seminyak go near future,"{'neg': 0.278, 'neu': 0.644, 'pos': 0.078, 'compound': -0.8625}",-0.8625,0
best find bali many restaurant shisha liquor lovely foodone try,"{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.8402}",0.8402,1
clean safe lot tourist wonderful way enjoy bali culture many local look sell ware make relax location perfect watch sun set evening,"{'neg': 0.0, 'neu': 0.456, 'pos': 0.544, 'compound': 0.959}",0.959,1
fantastic great place watch surfer great lounge dont sand,"{'neg': 0.0, 'neu': 0.337, 'pos': 0.663, 'compound': 0.9153}",0.9153,1
stun clean busy plenty surf scuba dive beer watch get romantic sunset watch wife,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.6597}",0.6597,1
part flat long pretty much many activity surf soccer swim ocean ride kite fly etc etcbefore sunset many hotel restaurant put bean bag along pump music love love,"{'neg': 0.0, 'neu': 0.683, 'pos': 0.317, 'compound': 0.9118}",0.9118,1
could sleep take early walk catch sunrise wonderful surprise fresh air sandy wait sunrise rejuvenate werent many people jogger jetleg tourist w selfie mode walk hour finally watch sun crack horizon begin new day plain beautiful thing start day bali perfecto,"{'neg': 0.0, 'neu': 0.71, 'pos': 0.29, 'compound': 0.9231}",0.9231,1
beautiful shoreline amazing sunset drive way jimbaran stun sunset,"{'neg': 0.0, 'neu': 0.476, 'pos': 0.524, 'compound': 0.8271}",0.8271,1
tldr hand best situation bit silly come seminyak airport night didnt like traffic decide see best beach first decide liveso next day early morning start explore see seminyak firstcanggu munggu jimbaran dreamland melasti padangpadang sanur place along way whole day drivecame back frustrated night amaze beach philippine thailand goa etc understand bali beach average best yeah melasti wedding picture nice swim live relaxingnext day saw seminyak 100m hotel right ku de taocean wave tender smooth light yellow sand wide bright kilometer longits perfectseminyak expensive place reason,"{'neg': 0.051, 'neu': 0.689, 'pos': 0.26, 'compound': 0.9712}",0.9712,1
learn say people sell thing lay sub pay 10 umbrella whole day love seminyak restaurant near buy deliver day bed yhe photo see think would dirty lovely even water amaze,"{'neg': 0.105, 'neu': 0.613, 'pos': 0.282, 'compound': 0.8481}",0.8481,1
stay anantara hotel fabulous service pool buffet breakfast dinner experience rooftop bar restaurant staff could helpful polite genuinely friendly concerned enjoyment,"{'neg': 0.0, 'neu': 0.567, 'pos': 0.433, 'compound': 0.9186}",0.9186,1
nice wide perfect drink cocktail watch sunset listen live music sunbathing eat,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.7579}",0.7579,1
awesome western sunset water well price beer sun bed restaurant great swim fun whole family,"{'neg': 0.0, 'neu': 0.447, 'pos': 0.553, 'compound': 0.9274}",0.9274,1
lovely set watch sunset cocktail two plenty choice drink view get busy around 5pm find seat early,"{'neg': 0.0, 'neu': 0.808, 'pos': 0.192, 'compound': 0.5859}",0.5859,1
great time walk sunset clean nice view look,"{'neg': 0.0, 'neu': 0.342, 'pos': 0.658, 'compound': 0.8625}",0.8625,1
great sunset walk kiteflying play sand relax deckchairs learn surf good swimming,"{'neg': 0.0, 'neu': 0.394, 'pos': 0.606, 'compound': 0.9062}",0.9062,1
