Date,Content,review,scores,compound,sentiment
Feb 2017,"The amount of rubbish is terrible. The place is beautiful, but surfing and hitting bags, paddling into them. To be blunt it was like surfing in a rubbish tip. There are nicer places and I could have hit a bad week. Don't judge Bali on this review! My experience was sadly 1star",amount rubbish terrible place beautiful surf hitting bag paddle blunt surf rubbish tip nicer place hit bad week dont judge bali review experience sadly 1star,"{'neg': 0.26, 'neu': 0.552, 'pos': 0.188, 'compound': -0.3818}",-0.3818,negative
Aug 2019,"Not that easy to find a good spotfor use to lay down ourselves in that beach. We have to walk along the end tip to nearly the other tip, nearly reach the finns beach club. Nice place to enjoy with your partner; sun bathing, perhaps not swimming because it's too dangerous! Long walk is the best place to try...",easy find good spotfor use lay walk along end tip nearly tip nearly reach finn club nice place enjoy partner sun bathing perhaps swim dangerous long walk best place try,"{'neg': 0.072, 'neu': 0.532, 'pos': 0.396, 'compound': 0.9186}",0.9186,positive
Sep 2017,"The beach is a little dirty and the surf can be a little packed but when 2hr board rental coasts 5AUD you can't complain. I rented from SandBar and they were easy enough. I even left my wallet, phone and hat in a basket with them and it was safe enough. The Bar sells Bali Hai (sorry no bintang) For about 2AUD and there is live music in the evening. Better Spot to watch the sunset than Old Mans but the ""Bar"" is more of a shack... but thats half the charm. Note: 3/5 stars because it was a semi dirty beach",little dirty surf little pack 2hr board rental coast 5aud cant complain rent sandbar easy enough even leave wallet phone hat basket safe enough bar sell bali hai sorry bintang 2aud live music even good spot watch sunset old man bar shack thats half charm note 35 star semi dirty,"{'neg': 0.124, 'neu': 0.659, 'pos': 0.217, 'compound': 0.778}",0.778,positive
Aug 2016,"Popular beach but the place only developed in the past two years, a few access roads and there are still hidden beaches around. Mostly black sand beaches,",popular place develop past two year access road still hidden beach around mostly black sand beach,"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.4215}",0.4215,positive
Aug 2014,"Very beautiful, very clean. Mostly a locals spot which is what i loved about it. Cheap rentals if you don't need the nightlife and bars and such. About a 20 minute scooter ride from Kuta. Great surfing but there can be a mean undertow so be careful. Take a local guide - they are cheap and very knowledgeable.",beautiful clean mostly locals spot love cheap rental dont need nightlife bar 20 minute scooter ride kuta great surf mean undertow careful take local guide cheap knowledgeable,"{'neg': 0.0, 'neu': 0.571, 'pos': 0.429, 'compound': 0.9477}",0.9477,positive
Jul 2017,"Clean and beautiful white sands,not so crowded as other beach at Bali,  good waves and offers many good hotels nearby. ",clean beautiful white sandsnot crowd bali good wave offer many good hotel nearby,"{'neg': 0.0, 'neu': 0.421, 'pos': 0.579, 'compound': 0.9081}",0.9081,positive
Jun 2014,"Surfer are welcome here! There are so many surf board rentals and there cafe too. This beach is good for surfing, but not for beginner I think. There are some solid rocks make surfing a bit dangerous if you're a beginner. Locals are everywhere too but not as crowded as Kuta and Seminyak beach.",surfer welcome many surf board rental cafe good surfing beginner think solid rock make surf bit dangerous youre beginner local everywhere crowd kuta seminyak,"{'neg': 0.101, 'neu': 0.654, 'pos': 0.245, 'compound': 0.5267}",0.5267,positive
Feb 2019,Have stayed previously in a villa ten minutes out. This time near Echo Beach. The vibe of young people from all over the world is so pleasant after the dynamics of Kuta and Legian,stay previously villa ten minute time near echo vibe young people world pleasant dynamic kuta legian,"{'neg': 0.0, 'neu': 0.704, 'pos': 0.296, 'compound': 0.7096}",0.7096,positive
Nov 2016,"Two teenage sons learned to surf here from good local surf teachers so this will always be remembered.   Though the sand is brown which is a shock for Western Australians, the hangs outs and shopping were great while the kids learned to surf and even though we lived in relative luxury eslewhere in Bali, this was the place our teenagers.  It also had the best and best fun restaurants we visited in our seven weeks in Bali which is saying something.",two teenage son learn surf good local surf teacher will always remember though sand brown shock western australian hang out shop great kid learn surf even though lived relative luxury eslewhere bali place teenager best best fun restaurant visit seven week bali say something,"{'neg': 0.044, 'neu': 0.641, 'pos': 0.315, 'compound': 0.9524}",0.9524,positive
Jun 2016,Simple town.. for now. developing rapidly. Great views of ocean and surf. Old mans bar is too easy to roll into after a day on beach. Sleepy town away from busyiness. ,simple town now develop rapidly great view ocean surf old man bar easy roll day sleepy town away busyiness,"{'neg': 0.0, 'neu': 0.708, 'pos': 0.292, 'compound': 0.7906}",0.7906,positive
Dec 2019,"Initially the black sands of Canggu Beach are quite novel. As this spot has become THE place to be in Bali, crowds have blemished what once might have been pristine and serene. Plenty of waves to surf and hip bars to visit - the beach seems to be perennially packed these days.",initially black sand canggu quite novel spot become place bali crowd blemish might pristine serene plenty wave surf hip bar visit seem perennially pack day,"{'neg': 0.0, 'neu': 0.804, 'pos': 0.196, 'compound': 0.6801}",0.6801,positive
Mar 2016,we enjoyed the days at canggu beach.. when thirsty or hungry you can always get what you need from the small bars at the top... you can make deals with them and maybe get your sunbed at a low price.,enjoy day canggu thirsty hungry always need small bar top make deal maybe sunbed low price,"{'neg': 0.104, 'neu': 0.647, 'pos': 0.249, 'compound': 0.4404}",0.4404,positive
