Date,Content,review,scores,compound,sentiment
Dec 2019,"The Primo photo op spot on Nusa Penida! Crowds of tourists and influencers flock to the well worn outcrop above this beach to take a selfie. The best experience remains to be had on the sands below. The path to get there is steep and will require a certain stamina to retrace your steps back to the road. When you finally reach the shore, its paradise!",primo photo op spot nusa penida crowd tourists influencers flock well worn outcrop take selfie best experience remain sand path steep will require certain stamina retrace step back road finally reach shore paradise,"{'neg': 0.05, 'neu': 0.59, 'pos': 0.361, 'compound': 0.9136}",0.9136,positive
Dec 2019,"It was last year when I visited Nusa Penida, Bali. At that time I thought Kelingking Beach is only beautiful at photos. I wasn’t expecting too much, but when me and my family arrived at Kelingking Beach I was speechless and it’s beyond my expectation! such an unforgettable memories and it’s an honor to me that I can visit this place, I would recommend you 1000000/10 to visit this place someday! even tho the weather is hot, but it doesn’t matter! You also can swim at the beach by walking down the stairs and maybe it will take for about 30 minutes to reach the beach. But trust me, it’s all worth it!",last year visit nusa penida bali time think kelingking beautiful photo wasnt expect much family arrive kelingking speechless beyond expectation unforgettable memory honor visit place recommend 100000010 visit place someday even tho weather hot doesnt matter swim walk stair maybe will take 30 minute reach trust worth,"{'neg': 0.019, 'neu': 0.702, 'pos': 0.279, 'compound': 0.9303}",0.9303,positive
Oct 2019,"Well, I go to nusa penida island at lest 2-3 times per year with friends!So I will highly recommend you to rest before you go and have a good lunch!It will take a lot of time and effort to go down and back! I always enjoy it but Its not easy especially If not everyone in your group do work out every day ! So just get ready for people start crying!Its sunny so put some sun cream!  You can carry your water and etc but surprise surprise you can buy drinks by the beach too! Its soft drinks places so you can carry drinks or just some cash!Too about 1 hour down and back! Some people much longer!note: its no private or parking area so people just leave it anyhow! And its not easy to find this place so i will advice you to get a private guide! thats why my friends always asking me to join hahahaWe usually will racing with guys! Enjoy your day!",well go nusa penida island l 23 time per year friendsso will highly recommend rest go good lunchit will take lot time effort go back always enjoy easy especially everyone group work every day ready people start cryingits sunny put sun cream carry water etc surprise surprise buy drink soft drink place carry drink cashtoo 1 hour back people much longernote private parking area people leave anyhow easy find place will advice private guide thats friends always ask join hahahawe usually will race guy enjoy day,"{'neg': 0.011, 'neu': 0.66, 'pos': 0.328, 'compound': 0.9843}",0.9843,positive
Jun 2019,"Visited here last year in June,it is the landmark of Nusa Penida,kelingking means pinkie finger,the famous pic of this place is the cliff form in the shape of pinkie finger,thats why the local called it kelingking(pinkie),you will be exhausted if you want to go down to the beach.but it is worth doing so.once you reach the beach,you will feel so relaxed,and want to stay here longer.but the waves is strong,so not suitable for swimming. along the way to the beach, sometimes a bit dangerous,so take care of yourself.i should stay here longer, but sadly due to limited time,have to go up to meet my driver.will come again.",visit last year juneit landmark nusa penidakelingking mean pinkie fingerthe famous pic place cliff form shape pinkie fingerthats local call kelingkingpinkieyou will exhaust want go beachbut worth soonce reach beachyou will feel relaxedand want stay longerbut wave strongso suitable swimming along way sometimes bit dangerousso take care yourselfi stay longer sadly due limit timehave go meet driverwill come,"{'neg': 0.077, 'neu': 0.768, 'pos': 0.155, 'compound': 0.2732}",0.2732,positive
Dec 2019,there is a lot of walking to do here. but it still really amazing. At the time we went the place was quite crowded. ,lot walk still really amazing time go place quite crowd,"{'neg': 0.0, 'neu': 0.687, 'pos': 0.313, 'compound': 0.624}",0.624,positive
Jul 2019,"One of the best spots in Nusa Penida. Amazing views, make sure to get there early. Luckily we got there around 10 am and there was no queue, only a few people walking up and down. Make sure to take some comfortable shoes. We took flip flops and we had to be very careful. If you are looking to go all the way down to the beach it will take you around 30/40 minutes so be prepared for the time of your life. The stairs going down are very narrow and you have to watch your step. The stairs are pretty crowded with people coming up and going down. If you are afraid of heights or if you don't have good balance I wouldn't recommend. This does require some level of fitness but once you get down, you will encounter the most amazing sand. Just watch out for the waves as they are very strong and they can pull you in. I would not recommend swimming in these waters. Perfect place for those Instagram pics! ",one best spot nusa penida amazing view make sure early luckily get around 10 queue people walk make sure take comfortable shoe take flip flop careful look go way will take around 3040 minute prepare time life stair go narrow watch step stair pretty crowd people come go afraid height dont good balance wouldnt recommend require level fitness will encounter amazing sand watch wave strong pull recommend swim water perfect place instagram pic,"{'neg': 0.088, 'neu': 0.554, 'pos': 0.359, 'compound': 0.9815}",0.9815,positive
Dec 2019,You should try to come here. Want to come back again 😘. There is most people to take picture. You will see the monkey group also there 🙈,try come want come back people take picture will see monkey group,"{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.0772}",0.0772,positive
Oct 2019,"The T Rex shaped cliff side at Kelingking Beach has rocketed tourism into the sky with its natural beauty. Thanks to social media, Instagram especially this viewpoint is now top of most people’s list of attractions when heading over Bali. The beach itself is secluded, white sandy haven surrounded by turquoise waters. ",t rex shape cliff side kelingking rocket tourism sky natural beauty thanks social medium instagram especially viewpoint now top people list attraction head bali seclude white sandy haven surround turquoise water,"{'neg': 0.0, 'neu': 0.637, 'pos': 0.363, 'compound': 0.9226}",0.9226,positive
Sep 2019,"This spot should be on everyone's bucketlist, I've never seen such a beauty, it's worth a one day visit.If you go there just be bold and do the hike (it's tiring but not dangerous)You should just mind to have a suitable footwear, sunscreen and a cap.Be careful ! if you drop your phone you'll never see it again 😂",spot everyones bucketlist ive never see beauty worth one day visitif go bold hike tire dangerousyou mind suitable footwear sunscreen capbe careful drop phone youll never see,"{'neg': 0.207, 'neu': 0.666, 'pos': 0.127, 'compound': -0.3895}",-0.3895,negative
Nov 2019,One of the most iconic beach in the world and no doubt why it is so. We visited this one our one day tour of Nusa Penida.Its nature's paradise.,one iconic world doubt visit one one day tour nusa penidaits nature paradise,"{'neg': 0.141, 'neu': 0.621, 'pos': 0.237, 'compound': 0.4019}",0.4019,positive
