Name,Country,Date,Content
MADHURKJAIN,"Vadodara, India",Oct 2019,Pristine white sandy beach. Ideal place to relax or swim. Located in the vicinity of a chain of high end hotels. Amazing sunset views
ind,"England, UK",Sep 2019,"Arrrrh the beach... this is one place we didn’t list on our agenda when planning our trip, as we’re not particularly beach people who spend time tanning ourselves to a crisp! Writing it off completely was a bit harsh and I wish we had made an exception just this once. Still, we managed a couple of hours toe dipping in the coolness of the sea, watching and listening to the great ocean waves, tingling us with excitement and almost sweeping us in, it was a case of “sand on, stress off” after a 17 hour flight! This was bliss...Seminyak Beach is 10 minutes walk from The Alea hotel, the route is a straight cut through residential area dotted with quaint villas and tropical greenery. The temperatures didn’t hold back, after all it was mid-day when most sun worshippers had crawled back to the luxury of their hotels air con. For us it was great having the beach almost to ourselves.  A few local vendors trying to delight us with their wares, friendly smiley people and a polite “no thank you” will suffice.  We enjoyed moments of peace and calmness, watching swirls of waves coming in and cooling down our roasted feet from the blazing heat of the sand.  The salty sea air and catching an odd glimpse of a surfer conquering a wave added to our fun in the sun.  We spotted crabs popping out from pockets of sand and running into the sea, so well camouflaged.  The longer we spent just walking and gazing at the vastness of the ocean my mindset touched senses one can only dream off in paradise, making me feel alive and regaining my sanity.  The beach is clean, lined with palm trees gently swaying in the breeze and sand so soft you’ll be leaving picture postcard memories and footprints for others to follow. Bars and restaurants setting up for late brunches, we parked ourselves at a cafe,  people watched and took few photos.  We ended our leisurely stroll at a bohemian cafe which looked like one big tropical fruit cocktail, inviting cosy colourful bean bags, low level tables and a signpost with some funky quotes, this was a picture of relaxation, peace and love. The cafe overlooks the ocean where you can get fed and watered enjoying the ambience and I guess a fabulous party vibe in the evening for ‘movers and shakers’, enjoying a few beers and watching an amazing sunset.      Our recommendation: Definitely go for it! all you have to do is press ‘escape’ and you’ll be transported into a world of calmness, ride a wave and let your free spirit run wild, this is therapy on the cheap.  Personally for me, I’ll be putting the beach on future trips, after all what’s not to like?....Indu & Versha."
PrestonGuild,United Kingdom,Jul 2019,"Once you go past Legian beach you are on Seminyak Beach.There are also some high end hotels on the vicinity and I noted that it was less busier here.A nice place to have a stroll, popular with surfers and it was relatively clean."
Aslam_Sherif,"London, UK",Aug 2019,Seminyak beach is nice and clean. I found it some parts is is very busy and loud and other parts it is very quiet.I had an ocean view room at the hotel I was staying and the view was very relaxing.
Sandy Ta,"Singapore, Singapore",May 2019,"Purposely chose Seminyak beach of all places in Bali for my trip as I wanted to learn surfing (first timer) and heard the food/drinks options are great. It was the right decisions. The beach was beautiful, lively but not so crowded. Many drink stalls along the main stretch of the beach (near La Plancha) which also rented out beach chairs for you to sit down and the staff were always ready to tell a tales or two to entertain you. The surfing booths were everywhere but not all of them are reputable so do your research before hand. Swimming is possible but try to void those places with warning flag and those with a lot of surfers."
Mansi Reddy,"Chennai (Madras), India",Oct 2019,"We stayed at the W Bali and had easy access to the beach. We absolutely loved this beach, lots of lovely beach bars with very comfortable loungers, amazing sunsets and a fabulous party vibe at night."
Aloysius170,"Sumba, Indonesia",Oct 2019,"I have been living in Seminyak village for 10 years in 1976, Although I love walking on the beach I heard many time people drawned here because the undercurrent is very strong. It is a black sand beach and when clear it is great for sunset photoes"
Flare,"Helsinki, Finland",Mar 2019,"Dissapointment after Nusa Dua quiet beaches. This beach was a party beach, noicy, grouded and parties all night long."
BA2727,"Guildford, UK",Dec 2019,"Flat busy beach, dark dirty sand.  Just didnt like it.  Water cleanliness quality is meant to be an issue to."
Rie06,"Chicago, IL",Aug 2019,"Very nice beach. I went in the late afternoon, and it wasn’t very crowded. The beach is very clean, and the water was clear. Nice, relaxing experience. Know that you pay to use the loungers, and there are people selling things like sunglasses and bracelets."
