nama,tgl_ulasan,ulasan,ulasan_emoji,ulasan_emot,ulasan_fold,ulasan_punct,ulasan_stop,ulasan_freq,ulasan_rare,ulasan_stem,review,scores,compound,sentiment
Clo,Dec-19,"Certain areas are not that tastefullStick to the private beaches as best you can.Feet were black walking from place to place,  Some parts were fab, but just know where to go","Certain areas are not that tastefullStick to the private beaches as best you can.Feet were black walking from place to place,  Some parts were fab, but just know where to go","Certain areas are not that tastefullStick to the private beaches as best you can.Feet were black walking from place to place,  Some parts were fab, but just know where to go","certain areas are not that tastefullstick to the private beaches as best you can.feet were black walking from place to place,  some parts were fab, but just know where to go",certain areas are not that tastefullstick to the private beaches as best you canfeet were black walking from place to place  some parts were fab but just know where to go,certain areas tastefullstick private beaches best canfeet black walking place place parts fab know go,certain areas tastefullstick private beaches best canfeet black walking parts fab know go,certain areas tastefullstick private beaches best canfeet black walking parts fab know go,certain area tastefullstick privat beach best canfeet black walk part fab know go,certain area tastefullstick private beach best canfeet black walking part fab know go,"{'neg': 0.0, 'neu': 0.518, 'pos': 0.482, 'compound': 0.8519}",0.8519,1
Gavin,Dec-19,"a great sunset from here, very wide beach front, watch out for the strong currents from here, can be quite rough at times","a great sunset from here, very wide beach front, watch out for the strong currents from here, can be quite rough at times","a great sunset from here, very wide beach front, watch out for the strong currents from here, can be quite rough at times","a great sunset from here, very wide beach front, watch out for the strong currents from here, can be quite rough at times",a great sunset from here very wide beach front watch out for the strong currents from here can be quite rough at times,great sunset wide beach front watch strong currents quite rough times,sunset wide front watch strong currents quite rough times,sunset wide front watch strong currents quite rough times,sunset wide front watch strong current quit rough time,sunset wide front watch strong current quite rough time,"{'neg': 0.0, 'neu': 0.708, 'pos': 0.292, 'compound': 0.5106}",0.5106,1
Kaye,Dec-19,"If you want a super Western style beach, this is your place. Being from California, I was expecting a very special type of place after hearing that Canggu was voted one of the best beaches in the world, but it was EXACTLY like a California beach. All of the restaurants were catered towards Western cuisine, the most unauthentic part of Bali I'd seen in the whole 3 weeks my boyfriend and I were there.","If you want a super Western style beach, this is your place. Being from California, I was expecting a very special type of place after hearing that Canggu was voted one of the best beaches in the world, but it was EXACTLY like a California beach. All of the restaurants were catered towards Western cuisine, the most unauthentic part of Bali I'd seen in the whole 3 weeks my boyfriend and I were there.","If you want a super Western style beach, this is your place. Being from California, I was expecting a very special type of place after hearing that Canggu was voted one of the best beaches in the world, but it was EXACTLY like a California beach. All of the restaurants were catered towards Western cuisine, the most unauthentic part of Bali I'd seen in the whole 3 weeks my boyfriend and I were there.","if you want a super western style beach, this is your place. being from california, i was expecting a very special type of place after hearing that canggu was voted one of the best beaches in the world, but it was exactly like a california beach. all of the restaurants were catered towards western cuisine, the most unauthentic part of bali i'd seen in the whole 3 weeks my boyfriend and i were there.",if you want a super western style beach this is your place being from california i was expecting a very special type of place after hearing that canggu was voted one of the best beaches in the world but it was exactly like a california beach all of the restaurants were catered towards western cuisine the most unauthentic part of bali id seen in the whole 3 weeks my boyfriend and i were there,want super western style beach place california expecting special type place hearing canggu voted one best beaches world exactly like california beach restaurants catered towards western cuisine unauthentic part bali id seen whole 3 weeks boyfriend,want super western style california expecting special type hearing voted one best beaches world exactly like california restaurants catered towards western cuisine unauthentic part bali id seen whole 3 weeks boyfriend,want super western style california expecting special type hearing voted one best beaches world exactly like california restaurants catered towards western cuisine unauthentic part bali id seen whole 3 weeks boyfriend,want super western style california expect special type hear vote one best beach world exactli like california restaur cater toward western cuisin unauthent part bali id seen whole 3 week boyfriend,want super western style california expect special type hearing vote one best beach world exactly like california restaurant cater towards western cuisine unauthentic part bali id see whole 3 week boyfriend,"{'neg': 0.0, 'neu': 0.631, 'pos': 0.369, 'compound': 0.9274}",0.9274,1
Jenny,Oct-19,You don't go to Bali for the beaches! Not compared to Australia. its peaceful and nice in the mornings and lots of street dogs hang out and will say hello. Good for surfing but not swimming. ,You don't go to Bali for the beaches! Not compared to Australia. its peaceful and nice in the mornings and lots of street dogs hang out and will say hello. Good for surfing but not swimming. ,You don't go to Bali for the beaches! Not compared to Australia. its peaceful and nice in the mornings and lots of street dogs hang out and will say hello. Good for surfing but not swimming. ,you don't go to bali for the beaches! not compared to australia. its peaceful and nice in the mornings and lots of street dogs hang out and will say hello. good for surfing but not swimming. ,you dont go to bali for the beaches not compared to australia its peaceful and nice in the mornings and lots of street dogs hang out and will say hello good for surfing but not swimming ,dont go bali beaches compared australia peaceful nice mornings lots street dogs hang say hello good surfing swimming,dont go bali beaches compared australia peaceful mornings lots street dogs hang say hello swimming,dont go bali beaches compared australia peaceful mornings lots street dogs hang say hello swimming,dont go bali beach compar australia peac morn lot street dog hang say hello swim,dont go bali beach compare australia peaceful morning lot street dog hang say hello swimming,"{'neg': 0.0, 'neu': 0.814, 'pos': 0.186, 'compound': 0.4939}",0.4939,1
SingaporeBms,Dec-19,Wide open beach with very good surf conditions throughout the day.  Ample food and drink restaurants available along the beach.  ,Wide open beach with very good surf conditions throughout the day.  Ample food and drink restaurants available along the beach.  ,Wide open beach with very good surf conditions throughout the day.  Ample food and drink restaurants available along the beach.  ,wide open beach with very good surf conditions throughout the day.  ample food and drink restaurants available along the beach.  ,wide open beach with very good surf conditions throughout the day  ample food and drink restaurants available along the beach  ,wide open beach good surf conditions throughout day ample food drink restaurants available along beach,wide open conditions throughout day ample food drink restaurants available along,wide open conditions throughout day ample food drink restaurants available along,wide open condit throughout day ampl food drink restaur avail along,wide open condition throughout day ample food drink restaurant available along,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,1
Екатерина Паршутина,Dec-19,"Good just for surfing. Not clean and relaxing. You can take a surf in the rentals points, with all equipment ","Good just for surfing. Not clean and relaxing. You can take a surf in the rentals points, with all equipment ","Good just for surfing. Not clean and relaxing. You can take a surf in the rentals points, with all equipment ","good just for surfing. not clean and relaxing. you can take a surf in the rentals points, with all equipment ",good just for surfing not clean and relaxing you can take a surf in the rentals points with all equipment ,good surfing clean relaxing take surf rentals points equipment,clean relaxing take rentals points equipment,clean relaxing take rentals points equipment,clean relax take rental point equip,clean relax take rental point equipment,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.6808}",0.6808,1
Triana L,Dec-19,"If you’re looking for the idyllic, white sand beach and turquoise blue waters in a tranquil setting, this isn’t it. If you’re looking for great surfing, look no further. This beach offers lots of beach club options, vendors, seating areas and service for drinks. There are big crowds on the sand and in the water, likely for the perfect waves and party atmosphere.","If you’re looking for the idyllic, white sand beach and turquoise blue waters in a tranquil setting, this isn’t it. If you’re looking for great surfing, look no further. This beach offers lots of beach club options, vendors, seating areas and service for drinks. There are big crowds on the sand and in the water, likely for the perfect waves and party atmosphere.","If you’re looking for the idyllic, white sand beach and turquoise blue waters in a tranquil setting, this isn’t it. If you’re looking for great surfing, look no further. This beach offers lots of beach club options, vendors, seating areas and service for drinks. There are big crowds on the sand and in the water, likely for the perfect waves and party atmosphere.","if you’re looking for the idyllic, white sand beach and turquoise blue waters in a tranquil setting, this isn’t it. if you’re looking for great surfing, look no further. this beach offers lots of beach club options, vendors, seating areas and service for drinks. there are big crowds on the sand and in the water, likely for the perfect waves and party atmosphere.",if you’re looking for the idyllic white sand beach and turquoise blue waters in a tranquil setting this isn’t it if you’re looking for great surfing look no further this beach offers lots of beach club options vendors seating areas and service for drinks there are big crowds on the sand and in the water likely for the perfect waves and party atmosphere,you’re looking idyllic white sand beach turquoise blue waters tranquil setting isn’t you’re looking great surfing look beach offers lots beach club options vendors seating areas service drinks big crowds sand water likely perfect waves party atmosphere,you’re looking idyllic white turquoise blue waters tranquil setting isn’t you’re looking look offers lots club options vendors seating areas service drinks big crowds water likely perfect party atmosphere,you’re looking idyllic white turquoise blue waters tranquil setting isn’t you’re looking look offers lots club options vendors seating areas service drinks big crowds water likely perfect party atmosphere,you’r look idyl white turquois blue water tranquil set isn’t you’r look look offer lot club option vendor seat area servic drink big crowd water like perfect parti atmospher,you’re look idyllic white turquoise blue water tranquil set isn’t you’re look look offer lot club option vendor seat area service drink big crowd water likely perfect party atmosphere,"{'neg': 0.0, 'neu': 0.774, 'pos': 0.226, 'compound': 0.765}",0.765,1
zakwebb47,Nov-19,"The beach is very nice, and absolutely stunning to watch sunsets from (highly recommend!). It is great for surfers as it has fairly big waves (probably a good size for new surfers), but for swimming it's not so good, but overall it's good and I would give it 4/5. ","The beach is very nice, and absolutely stunning to watch sunsets from (highly recommend!). It is great for surfers as it has fairly big waves (probably a good size for new surfers), but for swimming it's not so good, but overall it's good and I would give it 4/5. ","The beach is very nice, and absolutely stunning to watch sunsets from (highly recommend!. It is great for surfers as it has fairly big waves (probably a good size for new surfers, but for swimming it's not so good, but overall it's good and I would give it 4/5. ","the beach is very nice, and absolutely stunning to watch sunsets from (highly recommend!. it is great for surfers as it has fairly big waves (probably a good size for new surfers, but for swimming it's not so good, but overall it's good and i would give it 4/5. ",the beach is very nice and absolutely stunning to watch sunsets from highly recommend it is great for surfers as it has fairly big waves probably a good size for new surfers but for swimming its not so good but overall its good and i would give it 45 ,beach nice absolutely stunning watch sunsets highly recommend great surfers fairly big waves probably good size new surfers swimming good overall good would give 45,absolutely stunning watch sunsets highly recommend surfers fairly big probably size new surfers swimming overall would give 45,absolutely stunning watch sunsets highly recommend surfers fairly big probably size new surfers swimming overall would give 45,absolut stun watch sunset highli recommend surfer fairli big probabl size new surfer swim overal would give 45,absolutely stunning watch sunset highly recommend surfer fairly big probably size new surfer swim overall would give 45,"{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.6894}",0.6894,1
jlct67,Jul-19,"Canggu was one of favorite places in the whole world! I had read tons and tons of forums trying to figured out which beach town  I wanted to go to and finally decided on Canggu.  I could not imagine going anywhere else now!! It was the perfect place if you're a young professional looking for a bit of night life without the party scene.  Everywhere felt new, clean, and the perfect mix of boho/Balinese culture.  We stayed in an Air BnB right off the main drive but in a fairly quiet space and it was PERFECT.  Walking distance to the beach, Love Anchor, Crate Cafe, and any restaurant or happy hour you could desire.  We moved locations half way through our trip to another city and actually took a taxi back to Canggu on our last day because we just couldn't get enough! This magical little space full of beautiful shops, beaches, happy hours, scooters, and the most magical humans is one for the books.  Grab a cheap beer at Echo Beach Club, a bucket of fries, and watch the sunset to end each day.  It doesn't get better!","Canggu was one of favorite places in the whole world! I had read tons and tons of forums trying to figured out which beach town  I wanted to go to and finally decided on Canggu.  I could not imagine going anywhere else now!! It was the perfect place if you're a young professional looking for a bit of night life without the party scene.  Everywhere felt new, clean, and the perfect mix of boho/Balinese culture.  We stayed in an Air BnB right off the main drive but in a fairly quiet space and it was PERFECT.  Walking distance to the beach, Love Anchor, Crate Cafe, and any restaurant or happy hour you could desire.  We moved locations half way through our trip to another city and actually took a taxi back to Canggu on our last day because we just couldn't get enough! This magical little space full of beautiful shops, beaches, happy hours, scooters, and the most magical humans is one for the books.  Grab a cheap beer at Echo Beach Club, a bucket of fries, and watch the sunset to end each day.  It doesn't get better!","Canggu was one of favorite places in the whole world! I had read tons and tons of forums trying to figured out which beach town  I wanted to go to and finally decided on Canggu.  I could not imagine going anywhere else now!! It was the perfect place if you're a young professional looking for a bit of night life without the party scene.  Everywhere felt new, clean, and the perfect mix of boho/Balinese culture.  We stayed in an Air BnB right off the main drive but in a fairly quiet space and it was PERFECT.  Walking distance to the beach, Love Anchor, Crate Cafe, and any restaurant or happy hour you could desire.  We moved locations half way through our trip to another city and actually took a taxi back to Canggu on our last day because we just couldn't get enough! This magical little space full of beautiful shops, beaches, happy hours, scooters, and the most magical humans is one for the books.  Grab a cheap beer at Echo Beach Club, a bucket of fries, and watch the sunset to end each day.  It doesn't get better!","canggu was one of favorite places in the whole world! i had read tons and tons of forums trying to figured out which beach town  i wanted to go to and finally decided on canggu.  i could not imagine going anywhere else now!! it was the perfect place if you're a young professional looking for a bit of night life without the party scene.  everywhere felt new, clean, and the perfect mix of boho/balinese culture.  we stayed in an air bnb right off the main drive but in a fairly quiet space and it was perfect.  walking distance to the beach, love anchor, crate cafe, and any restaurant or happy hour you could desire.  we moved locations half way through our trip to another city and actually took a taxi back to canggu on our last day because we just couldn't get enough! this magical little space full of beautiful shops, beaches, happy hours, scooters, and the most magical humans is one for the books.  grab a cheap beer at echo beach club, a bucket of fries, and watch the sunset to end each day.  it doesn't get better!",canggu was one of favorite places in the whole world i had read tons and tons of forums trying to figured out which beach town  i wanted to go to and finally decided on canggu  i could not imagine going anywhere else now it was the perfect place if youre a young professional looking for a bit of night life without the party scene  everywhere felt new clean and the perfect mix of bohobalinese culture  we stayed in an air bnb right off the main drive but in a fairly quiet space and it was perfect  walking distance to the beach love anchor crate cafe and any restaurant or happy hour you could desire  we moved locations half way through our trip to another city and actually took a taxi back to canggu on our last day because we just couldnt get enough this magical little space full of beautiful shops beaches happy hours scooters and the most magical humans is one for the books  grab a cheap beer at echo beach club a bucket of fries and watch the sunset to end each day  it doesnt get better,canggu one favorite places whole world read tons tons forums trying figured beach town wanted go finally decided canggu could imagine going anywhere else perfect place youre young professional looking bit night life without party scene everywhere felt new clean perfect mix bohobalinese culture stayed air bnb right main drive fairly quiet space perfect walking distance beach love anchor crate cafe restaurant happy hour could desire moved locations half way trip another city actually took taxi back canggu last day couldnt get enough magical little space full beautiful shops beaches happy hours scooters magical humans one books grab cheap beer echo beach club bucket fries watch sunset end day doesnt get better,one favorite places whole world read tons tons forums trying figured town wanted go finally decided could imagine going anywhere else perfect youre young professional looking bit night life without party scene everywhere felt new clean perfect mix bohobalinese culture stayed air bnb right main drive fairly quiet space perfect walking distance love anchor crate cafe restaurant happy hour could desire moved locations half way trip another city actually took taxi back last day couldnt get enough magical little space full beautiful shops beaches happy hours scooters magical humans one books grab cheap beer echo club bucket fries watch sunset end day doesnt get better,one favorite places whole world read tons tons forums trying figured town wanted go finally decided could imagine going anywhere else perfect youre young professional looking bit night life without party scene everywhere felt new clean perfect mix bohobalinese culture stayed air bnb right main drive fairly quiet space perfect walking distance love anchor crate cafe restaurant happy hour could desire moved locations half way trip another city actually took taxi back last day couldnt get enough magical little space full beautiful shops beaches happy hours scooters magical humans one books grab cheap beer echo club bucket fries watch sunset end day doesnt get better,one favorit place whole world read ton ton forum tri figur town want go final decid could imagin go anywher els perfect your young profession look bit night life without parti scene everywher felt new clean perfect mix bohobalines cultur stay air bnb right main drive fairli quiet space perfect walk distanc love anchor crate cafe restaur happi hour could desir move locat half way trip anoth citi actual took taxi back last day couldnt get enough magic littl space full beauti shop beach happi hour scooter magic human one book grab cheap beer echo club bucket fri watch sunset end day doesnt get better,one favorite place whole world read ton ton forum try figure town want go finally decide could imagine go anywhere else perfect youre young professional look bit night life without party scene everywhere felt new clean perfect mix bohobalinese culture stay air bnb right main drive fairly quiet space perfect walk distance love anchor crate cafe restaurant happy hour could desire move location half way trip another city actually take taxi back last day couldnt get enough magical little space full beautiful shop beach happy hour scooter magical human one book grab cheap beer echo club bucket fry watch sunset end day doesnt get good,"{'neg': 0.035, 'neu': 0.693, 'pos': 0.272, 'compound': 0.9853}",0.9853,1
Colmich,Oct-19,Not sure what the attraction is with this beach as there are so many better beaches to go to and I wouldn't go back ,Not sure what the attraction is with this beach as there are so many better beaches to go to and I wouldn't go back ,Not sure what the attraction is with this beach as there are so many better beaches to go to and I wouldn't go back ,not sure what the attraction is with this beach as there are so many better beaches to go to and i wouldn't go back ,not sure what the attraction is with this beach as there are so many better beaches to go to and i wouldnt go back ,sure attraction beach many better beaches go wouldnt go back,sure attraction many better beaches go wouldnt go back,sure attraction many better beaches go wouldnt go back,sure attract mani better beach go wouldnt go back,sure attraction many good beach go wouldnt go back,"{'neg': 0.0, 'neu': 0.423, 'pos': 0.577, 'compound': 0.802}",0.802,1
