nama,tgl_ulasan,ulasan,ulasan_emoji,ulasan_emot,ulasan_fold,ulasan_punct,ulasan_stop,ulasan_freq,ulasan_rare,ulasan_stem,review,scores,compound,sentiment
Kev,19-Aug,"Very nice beach to take a stroll. Although you get HOUNDED by people trying to sell you things. You don't get left alone for too long, which gets annoying. ","Very nice beach to take a stroll. Although you get HOUNDED by people trying to sell you things. You don't get left alone for too long, which gets annoying. ","Very nice beach to take a stroll. Although you get HOUNDED by people trying to sell you things. You don't get left alone for too long, which gets annoying. ","very nice beach to take a stroll. although you get hounded by people trying to sell you things. you don't get left alone for too long, which gets annoying. ",very nice beach to take a stroll although you get hounded by people trying to sell you things you dont get left alone for too long which gets annoying ,nice beach take stroll although get hounded people trying sell things dont get left alone long gets annoying,take stroll although get hounded people trying sell things dont get left alone long gets annoying,take stroll although get hounded people trying sell things dont get left alone long gets annoying,take stroll although get hound peopl tri sell thing dont get left alon long get annoy,take stroll although get hound people try sell thing dont get left alone long get annoy,"{'neg': 0.156, 'neu': 0.751, 'pos': 0.093, 'compound': -0.2869}",-0.2869,0
Peter R,19-Dec,"Good beach, nice and clean,  good surf if you like that sort of thing.  I walked from Double Six down to Kuta beach and then returned north to Seminyak beach. A lovely afternoon barefoot walk.","Good beach, nice and clean,  good surf if you like that sort of thing.  I walked from Double Six down to Kuta beach and then returned north to Seminyak beach. A lovely afternoon barefoot walk.","Good beach, nice and clean,  good surf if you like that sort of thing.  I walked from Double Six down to Kuta beach and then returned north to Seminyak beach. A lovely afternoon barefoot walk.","good beach, nice and clean,  good surf if you like that sort of thing.  i walked from double six down to kuta beach and then returned north to seminyak beach. a lovely afternoon barefoot walk.",good beach nice and clean  good surf if you like that sort of thing  i walked from double six down to kuta beach and then returned north to seminyak beach a lovely afternoon barefoot walk,good beach nice clean good surf like sort thing walked double six kuta beach returned north seminyak beach lovely afternoon barefoot walk,surf like sort thing walked kuta returned north seminyak lovely afternoon barefoot walk,surf like sort thing walked kuta returned north seminyak lovely afternoon barefoot walk,surf like sort thing walk kuta return north seminyak love afternoon barefoot walk,surf like sort thing walk kuta return north seminyak lovely afternoon barefoot walk,"{'neg': 0.0, 'neu': 0.636, 'pos': 0.364, 'compound': 0.743}",0.743,1
vanessasmith75,19-Dec,Nice spot to hang out with friends. We can see also sunset which is amazing. Beside that there are many options of restaurants we can choose along the beach. ,Nice spot to hang out with friends. We can see also sunset which is amazing. Beside that there are many options of restaurants we can choose along the beach. ,Nice spot to hang out with friends. We can see also sunset which is amazing. Beside that there are many options of restaurants we can choose along the beach. ,nice spot to hang out with friends. we can see also sunset which is amazing. beside that there are many options of restaurants we can choose along the beach. ,nice spot to hang out with friends we can see also sunset which is amazing beside that there are many options of restaurants we can choose along the beach ,nice spot hang friends see also sunset amazing beside many options restaurants choose along beach,spot hang friends see also amazing beside many options restaurants choose along,spot hang friends see also amazing beside many options restaurants choose along,spot hang friend see also amaz besid mani option restaur choos along,spot hang friend see also amaze beside many option restaurant choose along,"{'neg': 0.0, 'neu': 0.599, 'pos': 0.401, 'compound': 0.7717}",0.7717,1
2TravellingGeordies,19-Dec,Wrote a previous review up our stay in Seminyak and visiting the beaches here in Bali.Found Double 6 beach filled with plastics from high to low water. Nothing in the way of locals picking up the rubbish ranging from plastic bottle tops to plastic bags and old rope. How much damage is all this rubbish doing to marine life and not to mention the tourists entering these waters... the rubbish is not from tourism but from the rivers that flood once rain has fallen. Once you look beyond the rubbish I wonder how much none seen pollutants are in there!!!?.,Wrote a previous review up our stay in Seminyak and visiting the beaches here in Bali.Found Double 6 beach filled with plastics from high to low water. Nothing in the way of locals picking up the rubbish ranging from plastic bottle tops to plastic bags and old rope. How much damage is all this rubbish doing to marine life and not to mention the tourists entering these waters... the rubbish is not from tourism but from the rivers that flood once rain has fallen. Once you look beyond the rubbish I wonder how much none seen pollutants are in there!!!?.,Wrote a previous review up our stay in Seminyak and visiting the beaches here in Bali.Found Double 6 beach filled with plastics from high to low water. Nothing in the way of locals picking up the rubbish ranging from plastic bottle tops to plastic bags and old rope. How much damage is all this rubbish doing to marine life and not to mention the tourists entering these waters... the rubbish is not from tourism but from the rivers that flood once rain has fallen. Once you look beyond the rubbish I wonder how much none seen pollutants are in there!!!?.,wrote a previous review up our stay in seminyak and visiting the beaches here in bali.found double 6 beach filled with plastics from high to low water. nothing in the way of locals picking up the rubbish ranging from plastic bottle tops to plastic bags and old rope. how much damage is all this rubbish doing to marine life and not to mention the tourists entering these waters... the rubbish is not from tourism but from the rivers that flood once rain has fallen. once you look beyond the rubbish i wonder how much none seen pollutants are in there!!!?.,wrote a previous review up our stay in seminyak and visiting the beaches here in balifound double 6 beach filled with plastics from high to low water nothing in the way of locals picking up the rubbish ranging from plastic bottle tops to plastic bags and old rope how much damage is all this rubbish doing to marine life and not to mention the tourists entering these waters the rubbish is not from tourism but from the rivers that flood once rain has fallen once you look beyond the rubbish i wonder how much none seen pollutants are in there,wrote previous review stay seminyak visiting beaches balifound double 6 beach filled plastics high low water nothing way locals picking rubbish ranging plastic bottle tops plastic bags old rope much damage rubbish marine life mention tourists entering waters rubbish tourism rivers flood rain fallen look beyond rubbish wonder much none seen pollutants,wrote previous review stay seminyak visiting beaches balifound 6 filled plastics high low water nothing way locals picking rubbish ranging plastic bottle tops plastic bags old rope much damage rubbish marine life mention tourists entering waters rubbish tourism rivers flood rain fallen look beyond rubbish wonder much none seen pollutants,wrote previous review stay seminyak visiting beaches balifound 6 filled plastics high low water nothing way locals picking rubbish ranging plastic bottle tops plastic bags old rope much damage rubbish marine life mention tourists entering waters rubbish tourism rivers flood rain fallen look beyond rubbish wonder much none seen pollutants,wrote previou review stay seminyak visit beach balifound 6 fill plastic high low water noth way local pick rubbish rang plastic bottl top plastic bag old rope much damag rubbish marin life mention tourist enter water rubbish tourism river flood rain fallen look beyond rubbish wonder much none seen pollut,write previous review stay seminyak visit beach balifound 6 filled plastic high low water nothing way local pick rubbish range plastic bottle top plastic bag old rope much damage rubbish marine life mention tourist enter water rubbish tourism river flood rain fall look beyond rubbish wonder much none see pollutant,"{'neg': 0.1, 'neu': 0.866, 'pos': 0.034, 'compound': -0.5423}",-0.5423,0
Chris S,19-Dec,"Great for surfing but not for swimming as the sea is too rough. Evenings are great as the bars & restaurants along the beach prepare for the amazing sunsets with lanterns, candles, comfy bean bag chairs & live music which all contributes to a memorable time","Great for surfing but not for swimming as the sea is too rough. Evenings are great as the bars & restaurants along the beach prepare for the amazing sunsets with lanterns, candles, comfy bean bag chairs & live music which all contributes to a memorable time","Great for surfing but not for swimming as the sea is too rough. Evenings are great as the bars & restaurants along the beach prepare for the amazing sunsets with lanterns, candles, comfy bean bag chairs & live music which all contributes to a memorable time","great for surfing but not for swimming as the sea is too rough. evenings are great as the bars & restaurants along the beach prepare for the amazing sunsets with lanterns, candles, comfy bean bag chairs & live music which all contributes to a memorable time",great for surfing but not for swimming as the sea is too rough evenings are great as the bars  restaurants along the beach prepare for the amazing sunsets with lanterns candles comfy bean bag chairs  live music which all contributes to a memorable time,great surfing swimming sea rough evenings great bars restaurants along beach prepare amazing sunsets lanterns candles comfy bean bag chairs live music contributes memorable time,surfing swimming sea rough evenings bars restaurants along prepare amazing sunsets lanterns candles comfy bean bag chairs live music contributes memorable time,surfing swimming sea rough evenings bars restaurants along prepare amazing sunsets lanterns candles comfy bean bag chairs live music contributes memorable time,surf swim sea rough even bar restaur along prepar amaz sunset lantern candl comfi bean bag chair live music contribut memor time,surf swim sea rough evening bar restaurant along prepare amaze sunset lanterns candle comfy bean bag chair live music contributes memorable time,"{'neg': 0.0, 'neu': 0.857, 'pos': 0.143, 'compound': 0.5423}",0.5423,1
kimseouhyoon,19-Dec,"The location is very close from city , you can enjoy the beach and buy coconut water during waiting the beautiful sunset","The location is very close from city , you can enjoy the beach and buy coconut water during waiting the beautiful sunset","The location is very close from city , you can enjoy the beach and buy coconut water during waiting the beautiful sunset","the location is very close from city , you can enjoy the beach and buy coconut water during waiting the beautiful sunset",the location is very close from city  you can enjoy the beach and buy coconut water during waiting the beautiful sunset,location close city enjoy beach buy coconut water waiting beautiful sunset,location close city enjoy buy coconut water waiting beautiful,location close city enjoy buy coconut water waiting beautiful,locat close citi enjoy buy coconut water wait beauti,location close city enjoy buy coconut water wait beautiful,"{'neg': 0.0, 'neu': 0.496, 'pos': 0.504, 'compound': 0.7964}",0.7964,1
stephenpysc,19-Oct,"This is the section of the beach in Bali that is relaxed and has everything you need from water sports, to surfing, to chair and drinks. Great for sunset.!","This is the section of the beach in Bali that is relaxed and has everything you need from water sports, to surfing, to chair and drinks. Great for sunset.!","This is the section of the beach in Bali that is relaxed and has everything you need from water sports, to surfing, to chair and drinks. Great for sunset.!","this is the section of the beach in bali that is relaxed and has everything you need from water sports, to surfing, to chair and drinks. great for sunset.!",this is the section of the beach in bali that is relaxed and has everything you need from water sports to surfing to chair and drinks great for sunset,section beach bali relaxed everything need water sports surfing chair drinks great sunset,section relaxed everything need water sports surfing chair drinks,section relaxed everything need water sports surfing chair drinks,section relax everyth need water sport surf chair drink,section relax everything need water sport surf chair drink,"{'neg': 0.0, 'neu': 0.734, 'pos': 0.266, 'compound': 0.4404}",0.4404,1
Dumbamakeche,19-Dec,Good beach to spend our time while waiting for the golden hour (sunset) so many restaurant around here and local deli (Bakso gerobak biru) is delicious and affordable. ,Good beach to spend our time while waiting for the golden hour (sunset) so many restaurant around here and local deli (Bakso gerobak biru) is delicious and affordable. ,Good beach to spend our time while waiting for the golden hour (sunset so many restaurant around here and local deli (Bakso gerobak biru is delicious and affordable. ,good beach to spend our time while waiting for the golden hour (sunset so many restaurant around here and local deli (bakso gerobak biru is delicious and affordable. ,good beach to spend our time while waiting for the golden hour sunset so many restaurant around here and local deli bakso gerobak biru is delicious and affordable ,good beach spend time waiting golden hour sunset many restaurant around local deli bakso gerobak biru delicious affordable,spend time waiting golden hour many restaurant around local deli bakso gerobak biru delicious affordable,spend time waiting golden hour many restaurant around local deli bakso gerobak biru delicious affordable,spend time wait golden hour mani restaur around local deli bakso gerobak biru delici afford,spend time wait golden hour many restaurant around local deli bakso gerobak biru delicious affordable,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.5719}",0.5719,1
Cameliapark,19-Aug,"It was my second time in Bali, still beautiful as always and this beach is the most beautiful here. Definitely will visit this beach every time i come to bali.","It was my second time in Bali, still beautiful as always and this beach is the most beautiful here. Definitely will visit this beach every time i come to bali.","It was my second time in Bali, still beautiful as always and this beach is the most beautiful here. Definitely will visit this beach every time i come to bali.","it was my second time in bali, still beautiful as always and this beach is the most beautiful here. definitely will visit this beach every time i come to bali.",it was my second time in bali still beautiful as always and this beach is the most beautiful here definitely will visit this beach every time i come to bali,second time bali still beautiful always beach beautiful definitely visit beach every time come bali,second time still beautiful always beautiful definitely visit every time come,second time still beautiful always beautiful definitely visit every time come,second time still beauti alway beauti definit visit everi time come,second time still beautiful always beautiful definitely visit every time come,"{'neg': 0.0, 'neu': 0.432, 'pos': 0.568, 'compound': 0.8885}",0.8885,1
smithtan,19-Dec,Really recommended. One of the best place to get the magical sunset where many bar surriunding to entertain you.,Really recommended. One of the best place to get the magical sunset where many bar surriunding to entertain you.,Really recommended. One of the best place to get the magical sunset where many bar surriunding to entertain you.,really recommended. one of the best place to get the magical sunset where many bar surriunding to entertain you.,really recommended one of the best place to get the magical sunset where many bar surriunding to entertain you,really recommended one best place get magical sunset many bar surriunding entertain,really recommended one best get magical many bar surriunding entertain,really recommended one best get magical many bar surriunding entertain,realli recommend one best get magic mani bar surriund entertain,really recommended one best get magical many bar surriunding entertain,"{'neg': 0.0, 'neu': 0.441, 'pos': 0.559, 'compound': 0.8341}",0.8341,1
