Date,Content,review,scores,compound,sentiment
Jul 2017,"Surfing was especially good here, and there are many restaurants located on the road parallel to the beach.  Ideal for starting a long beach walk all the way down to Kuta.  Closer to sunset, all the beachside cafes take out their bean bag chairs and set them on the sand.  Great vibe and atmosphere especially for sunset and continuing on throughout the night with live music!!!! must see!",surf especially good many restaurant locate road parallel ideal start long walk way kuta close sunset beachside cafe take bean bag chair set sand great vibe atmosphere especially sunset continue throughout night live music must see,"{'neg': 0.0, 'neu': 0.755, 'pos': 0.245, 'compound': 0.8932}",0.8932,positive
Aug 2014,"This was a fantastic experience, as soon as you walk along the path you can hear the house music, smell thew food in the air and as soon as you are there with the drinks and the beach it is a buzz, the vibe is party and you will feel it straight away",fantastic experience soon walk along path hear house music smell thew food air soon drink buzz vibe party will feel straight away,"{'neg': 0.0, 'neu': 0.699, 'pos': 0.301, 'compound': 0.802}",0.802,positive
May 2018,"Nice beach a bit spoiled by the VERY numerous traders who ply you with sunglasses, jewellery and deck chairs CONSTANTLY ....not as much as in Kuta Beach but it does spoil the mood a bit.",nice bit spoil numerous trader ply sunglass jewellery deck chair constantly much kuta spoil mood bit,"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.4215}",0.4215,positive
Aug 2017,"A beach, just opposite cocoons, a well known venue for the young and the beautiful unfortunately the beach itself has a long dirty drain, running from thr drarnpipe on thr road, and tricklesright down to the beach . Once you have bipassed this area , the beach is beautiful. Come last in the afternoon, Pick out a bean bag chair, and while away the afternoon, whatching the locals play, soccer on the beach, while you settle in with a cocktail. Bliss. ",opposite cocoon well know venue young beautiful unfortunately long dirty drain run thr drarnpipe thr road tricklesright bipassed area beautiful come last afternoon pick bean bag chair away afternoon whatching local play soccer settle cocktail bliss,"{'neg': 0.105, 'neu': 0.577, 'pos': 0.318, 'compound': 0.8934}",0.8934,positive
Feb 2017,"Beautiful Beach, but it was kinda dirty. A lot of Plastic rubbish on the beach. Maybe it was very very bad Weather for 4 days.But I hope they will clean it.On Sunday was very crowded, many local people as well, they played football on the beach.Otherwise we love the beach.",beautiful kinda dirty lot plastic rubbish maybe bad weather 4 daysbut hope will clean iton sunday crowd many local people well play football beachotherwise love,"{'neg': 0.152, 'neu': 0.397, 'pos': 0.452, 'compound': 0.902}",0.902,positive
May 2018,Was looking for a relaxing day by the beach but was swarmed by sellers as soon as we sat down and was constant all day ,look relax day swarm seller soon sit constant day,"{'neg': 0.0, 'neu': 0.734, 'pos': 0.266, 'compound': 0.4404}",0.4404,positive
Nov 2016,Clean flat and giant beach. This is probably the hot spot of Bali where you can learn to surf or just chilax.,clean flat giant probably hot spot bali learn surf chilax,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.4019}",0.4019,positive
Jun 2016,Patrolled beach that is very safe. Double Six has beach chairs for guests with service from the hotel,patrol safe double six chair guest service hotel,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}",0.4404,positive
Jan 2017,"A private beachfront shared on a wide expanse of beach with strong waves. Many surfing instructors dot the beach touting their expertise. Beach washes up a huge amount of sand bed, which colored the waves with brown sediments while the waves further out are blue. Nice for sunsets and strolling, though the filth and debris washed ashore this time of year spoilts the prestine beach image. Not suitable for swimming, especially with the sand in the waves and the strong waves now (red flags warning).Free towel, beach chair, and ice cold mineral water for guests of Double Six and Courtyard Seminyak. Friendly attendant John.",private beachfront share wide expanse strong wave many surf instructor dot tout expertise wash huge amount sand bed color wave brown sediment wave blue nice sunset stroll though filth debris wash ashore time year spoilts prestine image suitable swim especially sand wave strong wave now red flag warningfree towel chair ice cold mineral water guest double six courtyard seminyak friendly attendant john,"{'neg': 0.02, 'neu': 0.747, 'pos': 0.232, 'compound': 0.9393}",0.9393,positive
Apr 2014,"We have travelled to Bali every year for about the last 15 years in March/ April. Sitting on the beach with a cocktail or beer, listening to the waves break & watching the sunset was romantic & relaxing  before strolling to one of the beach side restaurants for dinner. Sadly our sunset  experience this year was totally ruined by by the absolutely  deafening Afro American music blaring out from Double Six making it impossible to talk to one another let alone hear the waves. We had to walk a fair way to find a restaurant along the beachfront where the thumping music did not intrude. We are not against the  music per se but the volume should be kept within reasonable levels so that everyone can appreciate whatever they have come for. Happy hour by the pool with duh duh duh music is fine for those who enjoy it but it should not be so overly invasive & spoil the evening for more peaceful beach  sunset lovers.   The sunset magic has been lost.......we won't be back.",travel bali every year last 15 year march april sit cocktail beer listen wave break watch sunset romantic relaxing stroll one side restaurant dinner sadly sunset experience year totally ruin absolutely deafen afro american music blare double six make impossible talk one another let alone hear wave walk fair way find restaurant along beachfront thump music intrude music per se volume keep within reasonable level everyone appreciate whatever come happy hour pool duh duh duh music fine enjoy overly invasive spoil even peaceful sunset lover sunset magic lostwe wont back,"{'neg': 0.078, 'neu': 0.687, 'pos': 0.234, 'compound': 0.9494}",0.9494,positive
