Name,Country,Date,Content
ChrisThomasTravels,"Ossining, NY",Dec 2019,"The Primo photo op spot on Nusa Penida! Crowds of tourists and influencers flock to the well worn outcrop above this beach to take a selfie. The best experience remains to be had on the sands below. The path to get there is steep and will require a certain stamina to retrace your steps back to the road. When you finally reach the shore, its paradise!"
Florencia M,"Palembang, Indonesia",Dec 2019,"It was last year when I visited Nusa Penida, Bali. At that time I thought Kelingking Beach is only beautiful at photos. I wasn’t expecting too much, but when me and my family arrived at Kelingking Beach I was speechless and it’s beyond my expectation! such an unforgettable memories and it’s an honor to me that I can visit this place, I would recommend you 1000000/10 to visit this place someday! even tho the weather is hot, but it doesn’t matter! You also can swim at the beach by walking down the stairs and maybe it will take for about 30 minutes to reach the beach. But trust me, it’s all worth it!"
John Jackson,"Singapore, Singapore",Oct 2019,"Well, I go to nusa penida island at lest 2-3 times per year with friends!So I will highly recommend you to rest before you go and have a good lunch!It will take a lot of time and effort to go down and back! I always enjoy it but Its not easy especially If not everyone in your group do work out every day ! So just get ready for people start crying!Its sunny so put some sun cream!  You can carry your water and etc but surprise surprise you can buy drinks by the beach too! Its soft drinks places so you can carry drinks or just some cash!Too about 1 hour down and back! Some people much longer!note: its no private or parking area so people just leave it anyhow! And its not easy to find this place so i will advice you to get a private guide! thats why my friends always asking me to join hahahaWe usually will racing with guys! Enjoy your day!"
Raymondale,"Kuala Lumpur, Malaysia",Jun 2019,"Visited here last year in June,it is the landmark of Nusa Penida,kelingking means pinkie finger,the famous pic of this place is the cliff form in the shape of pinkie finger,thats why the local called it kelingking(pinkie),you will be exhausted if you want to go down to the beach.but it is worth doing so.once you reach the beach,you will feel so relaxed,and want to stay here longer.but the waves is strong,so not suitable for swimming. along the way to the beach, sometimes a bit dangerous,so take care of yourself.i should stay here longer, but sadly due to limited time,have to go up to meet my driver.will come again."
TravellorNewDelhi,New Delhi,Dec 2019,there is a lot of walking to do here. but it still really amazing. At the time we went the place was quite crowded. 
Mariana Lucas,"Croydon, UK",Jul 2019,"One of the best spots in Nusa Penida. Amazing views, make sure to get there early. Luckily we got there around 10 am and there was no queue, only a few people walking up and down. Make sure to take some comfortable shoes. We took flip flops and we had to be very careful. If you are looking to go all the way down to the beach it will take you around 30/40 minutes so be prepared for the time of your life. The stairs going down are very narrow and you have to watch your step. The stairs are pretty crowded with people coming up and going down. If you are afraid of heights or if you don't have good balance I wouldn't recommend. This does require some level of fitness but once you get down, you will encounter the most amazing sand. Just watch out for the waves as they are very strong and they can pull you in. I would not recommend swimming in these waters. Perfect place for those Instagram pics! "
Daniel Makuso,"Denpasar, Indonesia",Dec 2019,You should try to come here. Want to come back again 😘. There is most people to take picture. You will see the monkey group also there 🙈
Russ Lacuata,"Long Beach, CA",Oct 2019,"The T Rex shaped cliff side at Kelingking Beach has rocketed tourism into the sky with its natural beauty. Thanks to social media, Instagram especially this viewpoint is now top of most people’s list of attractions when heading over Bali. The beach itself is secluded, white sandy haven surrounded by turquoise waters. "
Otmane R,13 contributions,Sep 2019,"This spot should be on everyone's bucketlist, I've never seen such a beauty, it's worth a one day visit.If you go there just be bold and do the hike (it's tiring but not dangerous)You should just mind to have a suitable footwear, sunscreen and a cap.Be careful ! if you drop your phone you'll never see it again 😂"
TheHumbleTravellers,"Greater Noida, India",Nov 2019,One of the most iconic beach in the world and no doubt why it is so. We visited this one our one day tour of Nusa Penida.Its nature's paradise.
J0andChris,"Dewsbury, England",Oct 2019,"Stunning views, can get very busy.We visited via a private tour using Warung Coconut, great value tour and extremely helpful guide.   It is quite a steep trek down to the actual beach if you decide to venture down.  The views from the cliffs above are absolutely beautiful.  There are a selection of cafe bars at the top.  Well worth a visit if you are on the island. The roads are very narrow to get there, so highly recommend using a private tour."
rolf_the_viking,"Stockholm, Sweden",Dec 2019,The trip down and up is the main thing you will need to taka swim to cool down after the walk. Reserve enough time for this if you plan to go down to the beach
Elang Prima Tours,"Flores, Indonesia",Dec 2019,"Nusa Penida it,s the best place to visiting. Beautufull panorama beach make every tourist will be come back again. You can going by Fast Boat Cruises 40 minuts from Sanur harbour. One day for visiting many place at Nusa Penida its our service."
