Name,Country,Date,Content
MADHURKJAIN,"Vadodara, India",Oct 2019,"Beautiful and pristine Bech with clear waters. Enjoyed a lot of water sports also like water scooter, parachutes, sea walk. A nice combination of adventure and relaxation"
mmuazhiim,83 contributions,Oct 2019,Beautiful and stunning view of the beach. Clear blue sky . The landscpae of this place itself is so breathtaking i cannot explain with my own words.
Sam Ibrahim,"Sanur, Indonesia",Dec 2019,You arrifve and are immeditely overwhelmed by the natural beauty/serinity; you can stay there all day take in the natural beauty of the location.  
Aslam_Sherif,"London, UK",Aug 2019,"Nusa Dua are the best beaches I saw on Bali. Nusa Dua is all about beach walking, sunbathing, swimming or water sports. Walking along this beach in the evening is very relaxing."
JodyBonny,"Mendrisio, Switzerland",Dec 2019,Move to the central area. Wave and tides clean away plastic scraps and alga. Much cleaner and easy swimming
Patricia R,3 contributions,Nov 2019,Truly a remarkable and pristine area. Can thoroughly recommend the whole area. Such a pleasure to meander along the whole area. 
David Read,46 contributions,Sep 2019,"I first reviewed Nusa Dua beach in 2018 and commented that in late November/December the water was absolutely full of rubbish and gave it only 3 stars because of that. I want to give credit where its due and say that 12 months later it was absolutely stunning and not a single bit of rubbish could be seen. The water was warm and crystal clear, the sand well kept and plenty of time has been spent making the place look great.WI was told by a few people that the rubbish situation is seasonal as particular currents and water flows bring the rubbish into the area but that its soon flushed out. Based on my two visits (so far) that seems to be the case.So its only fair that I mention that in September 2019 it was fantastic and postcard perfect. We all enjoyed going for walks from the Novotels 2.28 Beach Club up to the Waterblow. Lots of great little bars and places to eat you can just stop in by the way and plenty of squirrels everywhere for people to feed ;)Hope its the same this later this year when we return - easily one of the best beaches in Bali, much better than the tourist traps over in Kuta/Legian. The black sand beaches up in Tabanan and Tanah Lot  are only better because there's no-one on them :)"
Susan Z,"Madrid, Spain",May 2019,It was nice to place to relax beach! It was great to be for swiming. It was very clean and quite water to dove in! Will recommend it
Maria B,"Lappeenranta, Finland",Oct 2019,"Nice, clean and long beach with cafes and restaurants. Also has green walking territory. Especially great for early morning photosets at sunrise time "
PrestonGuild,United Kingdom,Jun 2019,A very good beach maintained by the hotels. It is cleaner than say Kuta beach and less busier.We went for a dip in the sea but much preferred to swim in the hotel pool. There is a safe swimming area.You will have people wandering around selling stuff and boat trips but they do not hassle you too much. Just say a polite no.I found it a nice play to relax and enjoy the sun.
