Date,Content,review,scores,compound,sentiment
Oct 2015,"It is great for either runner or jogger as you can find walkway that connect Ayodya Hotel from the South to Club Med in the northern part along the beach. This route is about 7.5 Km vv. It is a pity that the walkway is not that wide, so you have to zig zag occassionaly. It is not 100% private I guess, but not that open to public.",great either runner jogger find walkway connect ayodya hotel south club med northern part along route 75 km vv pity walkway wide zig zag occassionaly 100 private guess open public,"{'neg': 0.064, 'neu': 0.816, 'pos': 0.12, 'compound': 0.4404}",0.4404,positive
Jan 2018,"Its way more beautiful than Kuta beach and cleaner than Sanur one. Great place to swim with kids as well, just be aware that it gets deep quite quickly ",way beautiful kuta clean sanur one great place swim kid well aware get deep quite quickly,"{'neg': 0.0, 'neu': 0.484, 'pos': 0.516, 'compound': 0.9153}",0.9153,positive
Aug 2019,"We stayed at the Grand Hyatt and went to the Nusa dua beach and it was absolutely fantastic it was lovely and clean. The sand was so nice and soft and the kids loved playing in it. There was no litter at all and it was safe for them to play in unlike some beaches this was an amazing beach to build a sandcastle on and we all had great fun doing so. There was also a swing on the beach which was very popular with all the guests young and old. Well worth a visit if you are in Bali, one of the nicest beach we have been to and stayed at. ",stay grand hyatt go nusa dua absolutely fantastic lovely clean sand nice soft kid love play litter safe play unlike beach amaze build sandcastle great fun swing popular guest young old well worth visit bali one nice stayed,"{'neg': 0.0, 'neu': 0.309, 'pos': 0.691, 'compound': 0.9932}",0.9932,positive
Dec 2017,We stayed at Novotel Nusa Dua and their beach club is on Nusa Dua Beach. The beach and water were clean and the water is warm. There was a strong cross current though that weak swimmers should watch out for,stayed novotel nusa dua club nusa dua water clean water warm strong cross current though weak swimmer watch,"{'neg': 0.117, 'neu': 0.565, 'pos': 0.319, 'compound': 0.6124}",0.6124,positive
Jan 2018,Best beach so far in Bali. This area translates as 'two islands' and there are two beaches either side of the volcanic where the 'Water Blow' feature is located.Effectively a privately owned beach - owned by the dozen or so 'resorts' and certainly far different from most other parts of Bali.2186,best far bali area translates two island two beach either side volcanic water blow feature locatedeffectively privately own own dozen resort certainly far different part bali2186,"{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.765}",0.765,positive
Dec 2017,"This beautiful beach spot is very clean with white sand, and also have a bicycle/jogging track, and beautiful view while sunrise",beautiful spot clean white sand bicyclejogging track beautiful view sunrise,"{'neg': 0.0, 'neu': 0.4, 'pos': 0.6, 'compound': 0.8885}",0.8885,positive
May 2017,"Compared to Kuta and Seminyak, this beach is quieter and more secluded so its perfect for relaxing and catching a tan.The lagoon is a lovely area to swim and if you want to catch waves, you can go further in. Did not do any activities at this beach but overall its a beautiful clean beach!",compare kuta seminyak quieter seclude perfect relax catch tanthe lagoon lovely area swim want catch wave go activity overall beautiful clean,"{'neg': 0.0, 'neu': 0.45, 'pos': 0.55, 'compound': 0.9538}",0.9538,positive
Nov 2018,Visited Nusa dua beach in November this year. It was a piece of paradise. Beautiful Sandy beach vt not too much of crowd very nice place hv a day out.,visit nusa dua november year piece paradise beautiful sandy vt much crowd nice place hv day,"{'neg': 0.0, 'neu': 0.544, 'pos': 0.456, 'compound': 0.8979}",0.8979,positive
Aug 2015,"We went to Nusa Dua for the water sports activities. Most drivers have a ""setting"" with the water sport service providers. You can negotiate as much as you want and most times, you can crack the deal. Important to check the changing rooms facilities and the toilet cleanliness before you book your water sports! We made this mistake, our place did not have a changing room and the toilets were extremely dirty. Gets too crowded at times with groups queuing up. Plan about 2 hours extra on your budgeted time. Overall, a good experience as our kids enjoyed it. We found many luxury hotels here and I'm left to wonder how the guests will enjoy their privacy due to the over commercialisation in this area...",go nusa dua water sport activity driver set water sport service provider negotiate much want time crack deal important check change room facility toilet cleanliness book water sport make mistake place change room toilet extremely dirty get crowd time group queue plan 2 hour extra budget time overall good experience kid enjoy find many luxury hotel im leave wonder guest will enjoy privacy due commercialisation area,"{'neg': 0.089, 'neu': 0.748, 'pos': 0.163, 'compound': 0.6815}",0.6815,positive
Jul 2015,The part of the beach i visited was very crowded but the water sports options available were amazing.,part visit crowded water sport option available amazing,"{'neg': 0.0, 'neu': 0.648, 'pos': 0.352, 'compound': 0.5859}",0.5859,positive
Aug 2016,"Stayed at Westin and chilled by beach on daily basis , beach has high tide from sunrise to around 2ish and then beach becomes more of rocky beach and tourists walk around and explore the rocky areas.You don't get harassed by people that much  trying to sell and all hotels have their private areas so you get constant supply of drinks , food , towels etc.",stay westin chill daily basis high tide sunrise around 2ish becomes rocky tourist walk around explore rocky areasyou dont harass people much try sell hotel private area constant supply drink food towel etc,"{'neg': 0.0, 'neu': 0.924, 'pos': 0.076, 'compound': 0.3875}",0.3875,positive
Mar 2018,"The beach was so relaxing, clean, and we could hear wave sounds clearly.We feels the private beach there and great experience with Watersport, so love it!",relax clean hear wave sound clearlywe feel private great experience watersport love,"{'neg': 0.0, 'neu': 0.365, 'pos': 0.635, 'compound': 0.9313}",0.9313,positive
Sep 2018,The dullest beach I have ever been to. Simply looks beautiful but not a wave in sight and no depth. Great for photos and nothing more. ,dull simply look beautiful wave sight depth great photo nothing,"{'neg': 0.153, 'neu': 0.395, 'pos': 0.452, 'compound': 0.743}",0.743,positive
Dec 2014,"Nice beach to swim in, just a shame that the shoreline is taken up by big 5 star resorts, so there is limited shade if you are just coming for a swim. If you find Nusa Dua Beach Grill at the south end though this is a nice place to hang out after a swim. The beach is gentle, suitable for families, although there was a slight side current when we were there. Clear water. We saw someone on a SUP board so they're probably for hire somewhere nearby.",nice swim shame shoreline take big 5 star resort limit shade come swim find nusa dua grill south end though nice place hang swim gentle suitable family although slight side current clear water saw someone sup board theyre probably hire somewhere nearby,"{'neg': 0.062, 'neu': 0.717, 'pos': 0.221, 'compound': 0.7906}",0.7906,positive
Jan 2016,I was there in Jan 2016.The beach is beautiful with alot of water sports activities to choose from.Definitely worth going.,jan 2016the beautiful alot water sport activity choose fromdefinitely worth go,"{'neg': 0.0, 'neu': 0.608, 'pos': 0.392, 'compound': 0.7003}",0.7003,positive
Jul 2015,"Beach is very nice compared to Kuta. I do wish the rubbish was removed from the water but this is a problem all over Bali, such a pity for such a beautiful island.",nice compare kuta wish rubbish remove water problem bali pity beautiful island,"{'neg': 0.23, 'neu': 0.329, 'pos': 0.441, 'compound': 0.6705}",0.6705,positive
Mar 2018,This is probably one of the better beaches in the south of Bali. Personally if you want to experience true Balinese culture and the amazing beaches they have on offer you are better off heading east or north of Bali. Outside the typical tourist areas and away from all the trash that follows ,probably one good beach south bali personally want experience true balinese culture amaze beach offer good head east north bali outside typical tourist area away trash follow,"{'neg': 0.0, 'neu': 0.621, 'pos': 0.379, 'compound': 0.9081}",0.9081,positive
Oct 2017,"Crystal clear waters and white sand! Very nice beach. Activities available all down the beach, clean water(no rubbish around) and a bunch of flash resorts to stop in for a drink ",crystal clear water white sand nice activity available clean waterno rubbish around bunch flash resort stop drink,"{'neg': 0.094, 'neu': 0.558, 'pos': 0.348, 'compound': 0.7096}",0.7096,positive
Jan 2016,"Nusa Dua is a public beach; as such, you can expect there to be crowds, beach vendors and litter strewn about. It also felt rather pretentious with the slew of luxury resorts monopolising the area.",nusa dua public expect crowds vendor litter strewn felt rather pretentious slew luxury resort monopolise area,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,positive
Sep 2016,Nice beach and refreshing to swim in - swim out past the reef and you will be within some big waves. At shore the waves are a trickle.,nice refresh swim swim past reef will within big wave shore wave trickle,"{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.4215}",0.4215,positive
Apr 2019,Great place to laze around and have a few relaxing drinks with friends Easy to get to and inexpensive ,great place laze around relax drink friend easy inexpensive,"{'neg': 0.0, 'neu': 0.276, 'pos': 0.724, 'compound': 0.9201}",0.9201,positive
Feb 2015,"We stayed at the Marriot that had a private beach. The water was shallow and the beach were clean. Though, the water had a lot of rotting plants. We just relaxed under the shades and sipped through our drinks. Less crowd and distractions. It was a perfect relaxing getaway. You can read more about my Nusa Dua visit here. http://mumbaigloss.in/my-bali-visit-10-things-to-do-in-nusa-dua/",stay marriot private water shallow clean though water lot rot plant relaxed shade sip drink less crowd distraction perfect relax getaway read nusa dua visit httpmumbaiglossinmybalivisit10thingstodoinnusadua,"{'neg': 0.065, 'neu': 0.591, 'pos': 0.344, 'compound': 0.8725}",0.8725,positive
Aug 2012,"It was a great beach, there is a shopping centre called discovery shopping centre. Plenty of tourists and is only less than 15mins from most of the hotels around Nusa Dua. Great sunset view from the shopping centre itself.",great shopping centre call discovery shopping centre plenty tourist le 15mins hotel around nusa dua great sunset view shopping centre,"{'neg': 0.0, 'neu': 0.687, 'pos': 0.313, 'compound': 0.8481}",0.8481,positive
Apr 2012,"Nusa dua beach located in the lower east bali island. It has more calm wave, but if you like to play in the sea ; just a couple block north you will find tanjung benoa which is famous for its water activity.I prefer this spot because is way less crowdy than kuta beach, this one is also cleaner and also packed with 5 stars hotels.Really good place to have your morning stroll or even have your night running.",nusa dua locate low east bali island calm wave play sea couple block north will find tanjung benoa famous water activityi prefer spot way less crowdy kuta one cleaner pack 5 star hotelsreally good place morning stroll even night run,"{'neg': 0.106, 'neu': 0.698, 'pos': 0.197, 'compound': 0.5106}",0.5106,positive
Jun 2014,"Clean beach, the water is lovely and not many waves so you can swim. The only annoying part is the people with their jet skis and motor boats, it can get a bit loud and smelly with the fumes sometimes.",clean water lovely many wave swim annoy part people jet skis motor boat bite loud smelly fume sometimes,"{'neg': 0.199, 'neu': 0.547, 'pos': 0.254, 'compound': 0.34}",0.34,positive
Apr 2018,"Beware of beach peddlers selling fake silver jewellery. As a retired jeweller we enjoyed a great time at Nusa Dua beach apart from being ripped off from the beach sellers. We bought 3 bangles stamped with 925 (sterling silver mark) they weighed the correct weight only to find they were heavy silver plate over brass. The price paid was 25% over the silver bullion price, so ok didn't lose much money. These beach sellers say they are controlled by Bali tourism & have a number on with yellow jacket  JUST TELL THEM ""NO THANK YOU""",beware peddler sell fake silver jewellery retire jeweller enjoy great time nusa dua apart rip seller buy 3 bangle stamp 925 sterling silver mark weigh correct weight find heavy silver plate brass price pay 25 silver bullion price ok didnt lose much money seller say control bali tourism number yellow jacket tell thank,"{'neg': 0.07, 'neu': 0.687, 'pos': 0.243, 'compound': 0.8767}",0.8767,positive
Jun 2017,Great sand beautiful warm water..Will be back. The reef 150 mtrs out means that the water is calm no matter how windy,great sand beautiful warm waterwill back reef 150 mtrs mean water calm matter windy,"{'neg': 0.0, 'neu': 0.404, 'pos': 0.596, 'compound': 0.9062}",0.9062,positive
Nov 2017,We hired a driver to go to Nusa Dua Beach for a couple of hours. Not a very secluded beach but still nice with white sand and sun chairs and food for a fair cost.,hire driver go nusa dua couple hour seclude still nice white sand sun chair food fair cost,"{'neg': 0.0, 'neu': 0.746, 'pos': 0.254, 'compound': 0.6249}",0.6249,positive
Jun 2015,"we had access to this beach strip through our hotel ayodya. since this is private beach strip, it is quiet and well maintained. ",access strip hotel ayodya private strip quiet well maintain,"{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.2732}",0.2732,positive
Dec 2016,There is a small public beach area and many luxury resorts have sections set aside for guests to relax on the beach.  It is regularly cleaned and consequently is largely litter free and the sand is soft.,small public area many luxury resort section set aside guest relax regularly clean consequently largely litter free sand soft,"{'neg': 0.0, 'neu': 0.643, 'pos': 0.357, 'compound': 0.836}",0.836,positive
