Date,Content,review,scores,compound,sentiment
Oct 2019,Pristine white sandy beach. Ideal place to relax or swim. Located in the vicinity of a chain of high end hotels. Amazing sunset views,pristine white sandy ideal place relax swim locate vicinity chain high end hotel amaze sunset view,"{'neg': 0.0, 'neu': 0.57, 'pos': 0.43, 'compound': 0.8689}",0.8689,1
Sep 2019,"Arrrrh the beach... this is one place we didn’t list on our agenda when planning our trip, as we’re not particularly beach people who spend time tanning ourselves to a crisp! Writing it off completely was a bit harsh and I wish we had made an exception just this once. Still, we managed a couple of hours toe dipping in the coolness of the sea, watching and listening to the great ocean waves, tingling us with excitement and almost sweeping us in, it was a case of “sand on, stress off” after a 17 hour flight! This was bliss...Seminyak Beach is 10 minutes walk from The Alea hotel, the route is a straight cut through residential area dotted with quaint villas and tropical greenery. The temperatures didn’t hold back, after all it was mid-day when most sun worshippers had crawled back to the luxury of their hotels air con. For us it was great having the beach almost to ourselves.  A few local vendors trying to delight us with their wares, friendly smiley people and a polite “no thank you” will suffice.  We enjoyed moments of peace and calmness, watching swirls of waves coming in and cooling down our roasted feet from the blazing heat of the sand.  The salty sea air and catching an odd glimpse of a surfer conquering a wave added to our fun in the sun.  We spotted crabs popping out from pockets of sand and running into the sea, so well camouflaged.  The longer we spent just walking and gazing at the vastness of the ocean my mindset touched senses one can only dream off in paradise, making me feel alive and regaining my sanity.  The beach is clean, lined with palm trees gently swaying in the breeze and sand so soft you’ll be leaving picture postcard memories and footprints for others to follow. Bars and restaurants setting up for late brunches, we parked ourselves at a cafe,  people watched and took few photos.  We ended our leisurely stroll at a bohemian cafe which looked like one big tropical fruit cocktail, inviting cosy colourful bean bags, low level tables and a signpost with some funky quotes, this was a picture of relaxation, peace and love. The cafe overlooks the ocean where you can get fed and watered enjoying the ambience and I guess a fabulous party vibe in the evening for ‘movers and shakers’, enjoying a few beers and watching an amazing sunset.      Our recommendation: Definitely go for it! all you have to do is press ‘escape’ and you’ll be transported into a world of calmness, ride a wave and let your free spirit run wild, this is therapy on the cheap.  Personally for me, I’ll be putting the beach on future trips, after all what’s not to like?....Indu & Versha.",arrrrh one place didnt list agenda plan trip particularly people spend time tan crisp write completely bit harsh wish make exception still manage couple hour toe dip coolness sea watch listen great ocean wave tingle u excitement almost sweep u case sand stress 17 hour flight blissseminyak 10 minute walk alea hotel route straight cut residential area dot quaint villa tropical greenery temperature didnt hold back midday sun worshipper crawl back luxury hotel air con u great almost local vendor try delight u war friendly smiley people polite thank will suffice enjoyed moment peace calmness watch swirls wave come cool roast foot blaze heat sand salty sea air catch odd glimpse surfer conquer wave add fun sun spot crab pop pocket sand run sea well camouflaged longer spent walk gaze vastness ocean mindset touch sens one dream paradise make feel alive regain sanity clean line palm tree gently sway breeze sand soft youll leave picture postcard memory footprints others follow bar restaurant set late brunch park cafe people watch take photo end leisurely stroll bohemian cafe look one big tropical fruit cocktail invite cosy colourful bean bag low level table signpost funky quote picture relaxation peace love cafe overlook ocean feed water enjoy ambience guess fabulous party vibe even mover shaker enjoy beer watch amazing sunset recommendation definitely go press escape youll transport world calmness ride wave let free spirit run wild therapy cheap personally ill put future trip whats likeindu versha,"{'neg': 0.068, 'neu': 0.609, 'pos': 0.323, 'compound': 0.9975}",0.9975,1
Jul 2019,"Once you go past Legian beach you are on Seminyak Beach.There are also some high end hotels on the vicinity and I noted that it was less busier here.A nice place to have a stroll, popular with surfers and it was relatively clean.",go past legian seminyak beachthere high end hotel vicinity note less busy herea nice place stroll popular surfer relatively clean,"{'neg': 0.0, 'neu': 0.679, 'pos': 0.321, 'compound': 0.7927}",0.7927,1
Aug 2019,Seminyak beach is nice and clean. I found it some parts is is very busy and loud and other parts it is very quiet.I had an ocean view room at the hotel I was staying and the view was very relaxing.,seminyak nice clean find part busy loud part quieti ocean view room hotel stay view relax,"{'neg': 0.0, 'neu': 0.607, 'pos': 0.393, 'compound': 0.8126}",0.8126,1
May 2019,"Purposely chose Seminyak beach of all places in Bali for my trip as I wanted to learn surfing (first timer) and heard the food/drinks options are great. It was the right decisions. The beach was beautiful, lively but not so crowded. Many drink stalls along the main stretch of the beach (near La Plancha) which also rented out beach chairs for you to sit down and the staff were always ready to tell a tales or two to entertain you. The surfing booths were everywhere but not all of them are reputable so do your research before hand. Swimming is possible but try to void those places with warning flag and those with a lot of surfers.",purposely chose seminyak place bali trip want learn surf first timer heard fooddrinks option great right decision beautiful lively crowd many drink stall along main stretch near la plancha rent chair sit staff always ready tell tale two entertain surf booth everywhere reputable research hand swim possible try void place warn flag lot surfer,"{'neg': 0.047, 'neu': 0.658, 'pos': 0.295, 'compound': 0.9517}",0.9517,1
Oct 2019,"We stayed at the W Bali and had easy access to the beach. We absolutely loved this beach, lots of lovely beach bars with very comfortable loungers, amazing sunsets and a fabulous party vibe at night.",stay w bali easy access absolutely love lot lovely bar comfortable lounger amaze sunset fabulous party vibe night,"{'neg': 0.0, 'neu': 0.291, 'pos': 0.709, 'compound': 0.976}",0.976,1
Oct 2019,"I have been living in Seminyak village for 10 years in 1976, Although I love walking on the beach I heard many time people drawned here because the undercurrent is very strong. It is a black sand beach and when clear it is great for sunset photoes",live seminyak village 10 year 1976 although love walk heard many time people drawned undercurrent strong black sand clear great sunset photoes,"{'neg': 0.0, 'neu': 0.559, 'pos': 0.441, 'compound': 0.9349}",0.9349,1
Mar 2019,"Dissapointment after Nusa Dua quiet beaches. This beach was a party beach, noicy, grouded and parties all night long.",dissapointment nusa dua quiet beach party noicy grouded party night long,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.6597}",0.6597,1
Dec 2019,"Flat busy beach, dark dirty sand.  Just didnt like it.  Water cleanliness quality is meant to be an issue to.",flat busy dark dirty sand didnt water cleanliness quality mean issue,"{'neg': 0.225, 'neu': 0.775, 'pos': 0.0, 'compound': -0.4404}",-0.4404,0
Aug 2019,"Very nice beach. I went in the late afternoon, and it wasn’t very crowded. The beach is very clean, and the water was clear. Nice, relaxing experience. Know that you pay to use the loungers, and there are people selling things like sunglasses and bracelets.",nice go late afternoon wasnt crowd clean water clear nice relax experience know pay use lounger people sell thing sunglass bracelet,"{'neg': 0.123, 'neu': 0.504, 'pos': 0.373, 'compound': 0.8147}",0.8147,1
Dec 2019,"Love staying at the beach for just relaxing or chit chat with family and friends. Beside double six area, sometimes i go to seminyak beach to spend time with family or friends. Not really clean beach but is ok. ",love stay relax chit chat family friends beside double six area sometimes go seminyak spend time family friend really clean ok,"{'neg': 0.0, 'neu': 0.443, 'pos': 0.557, 'compound': 0.9576}",0.9576,1
Dec 2019,Stayed in Seminyak for 5 days. Visited the beach three times and very disappointed with the amount of plastics on the beach..never been anywhere and seen such an amount of plastics from high to low water. Tourists actually walking along picking up all the debris. There are tractors on the beach raking the sand but not picking up and debris. Find it hard to believe that the tourist board/government allow tourists to swim and paddle  amongst this filth. The amount tourism brings to Bali then take some of your tourists money and pay local people to pick up the rubbish... the amount of rubbish on the beach depends upon rainfall flooding the rivers and taking it down to settle on the beaches. Anyone going in the sea comes face to face with the rubbish pity help any other unseen nasties are in the water...... expect a tourism tax to be incurred if action taken to clean up.,stay seminyak 5 day visit three time disappointed amount plastic beachnever anywhere see amount plastic high low water tourist actually walk along pick debris tractor rake sand pick debris find hard believe tourist boardgovernment allow tourist swim paddle amongst filth amount tourism bring bali take tourist money pay local people pick rubbish amount rubbish depend upon rainfall flooding river take settle beach anyone go sea come face face rubbish pity help unseen nasties water expect tourism tax incur action take clean,"{'neg': 0.145, 'neu': 0.775, 'pos': 0.08, 'compound': -0.6124}",-0.6124,0
Dec 2019,Supposed to be one of the best beaches in Bali - this beach let us down a bit. Water was rough and beach wasn’t very scenic ,suppose one best beach bali let u bite water rough wasnt scenic,"{'neg': 0.0, 'neu': 0.704, 'pos': 0.296, 'compound': 0.6369}",0.6369,1
Dec 2019,"Not the best beach however well used by tourist and locals, they are making an effort to clean it daily but could be better... many activities available for people to try...",best well use tourist local make effort clean daily well many activity available people try,"{'neg': 0.0, 'neu': 0.498, 'pos': 0.502, 'compound': 0.8779}",0.8779,1
Dec 2019,"The beach wasn’t too crowded, considering the large volume of people in the area for the new year celebration. Lots of space to spread out with a beach chair and enjoy the gorgeous water and a fancy cocktail.",wasnt crowd consider large volume people area new year celebration lot space spread chair enjoy gorgeous water fancy cocktail,"{'neg': 0.0, 'neu': 0.702, 'pos': 0.298, 'compound': 0.802}",0.802,1
Dec 2019,Went for a walk at the beach to catch the sunset. Don't expect a white sandy beach. It is black sand here. Dissapointed with how dirty the beach was with lots of plastic floating around. ,go walk catch sunset dont expect white sandy black sand dissapointed dirty lot plastic float around,"{'neg': 0.162, 'neu': 0.838, 'pos': 0.0, 'compound': -0.4404}",-0.4404,0
Dec 2019,Came here to watch the sunset. Camped ourselves at the Potato Head and strolled onto the beach to catch the beautiful endless rolling waves.The volcanic ash sand is very good on the eyes and nice to tread on. The beach was also very clean. The wide open sea was therefore very inviting and it is hard to see why so many enjoy taking a dip in the waters here.Personally I find the beach here to be nicer than the ones in Nusa Day.,come watch sunset camp potato head stroll onto catch beautiful endless roll wavesthe volcanic ash sand good eye nice tread clean wide open sea invite hard see many enjoy take dip water herepersonally find nice one nusa day,"{'neg': 0.027, 'neu': 0.585, 'pos': 0.388, 'compound': 0.9552}",0.9552,1
Nov 2019,There was litter everywhere and hardly any restaurants that were open. Overall not the best beach that we visited during our visit.,litter everywhere hardly restaurant open overall best visited visit,"{'neg': 0.0, 'neu': 0.656, 'pos': 0.344, 'compound': 0.6369}",0.6369,1
Dec 2019,Our visits to Seminyak beach was good. Pleasant and clean beach. It was extremely hot at the time we visited.  ,visit seminyak good pleasant clean extremely hot time visit,"{'neg': 0.0, 'neu': 0.403, 'pos': 0.597, 'compound': 0.836}",0.836,1
