review,sentiment
purposely chose place bali trip want learn surf first timer heard fooddrinks option right decision beautiful lively crowd many drink stall along main stretch near la plancha also rent chair sit staff always ready tell tale two entertain surf booth everywhere reputable research hand swim possible try void place warn flag lot surfer,1
go night trip chill relax second day rent two chair boyfriend suntan 3hours 200k rupiah since main purpose trip relax sun sea combination heaven u together little drink star sky sound wave course music really relax trip i’m miss pretty badly moment,1
gotta visit youre stay make sense dont pop one nearby club restaurant,1
come bali one expect booked ticket grey rubbish positive side sunset amaze,1
white grey dirty try wallk want make sure walk least ankle deep walk bit rubbish include look like condom needle cover cannot take decent walk stream run across sea questionable cleanness dont really want walk case catch illness bar want sit big group sit close together might scene couldnt really see anything rave much good place bali,1
beautiful place much clean anything kuta many haggler well highly recommend,1
stay seminayak really beautiful close stay also lot club around sit chill enjoy,1
know bali beach find average many scenic beach many different country want place sit side café relax hour trick would recommend go though,1
love 3 come often watch walk along watch rid horse ure lucky love spend evening time double six,1
somewhat dirty constantly hassle hawkersi would like see weather preclude doubt would leave alone enjoy experience,0
love fantastic bar bean bag umbrella really colourful bar live music really chill even vendor fun watch pushy,1
go season nearly empty except crowd potato head clubthere heaps offering pay attention themthe weird smell might want jump,0
actually travel bali 2006 beautiful experience enjoyed sunset bali amaze well food friendly every way dream return bali often,1
mile white choppy sea blue sky pineapple walk along washed 35 bingtang heaven earth,1
variety eatery bar cater taste budget view bean bag probably must pee night attempt view barrestaurant bintang hand,1
bali full lovely bar clubs restaurant view walk swimming,1
go time big sea bit hard swim like swim chill best care high price sunbeds umbrellas,1
first time stay stay kuta legian previously area lot relax southern neighbour look chilled bali experience place love stay,1
excellent white sand 30 minute kuta location always traffic jam middayall expensive rent 4 seat 400k idr hard bargain local man he take care u many small restaurant bar surround also hotel shop centre spa servicesreally make u relax sleep swim,1
hotel open wide patrolled wave surf body surf plenty washedup rubbish tideline appear remove day lounge food cheap end stretch isnt crowd,1
warm burn foot make sure wear thong swim young old odd bali dog cames cool due heat humidityim sure 1 dog watch try body surf son hire surfboard 2 week cost 1000 day 14 year old daughter try hand surf longboard 500 hour hawker tad annoy want buy sarong elephant trinket glass watch dont ask ask 100 time bars restaurant along food acoustic band listen perfect,1
want holiday dont go beach disgust litter everywhere say try clear im sorry want tourist come need try hard island rely tourism please tell would want pay sit sunbeds surround rubbish get rake bin bag clear please shame rest island beautiful go sanur sunbeds half price rubbish,1
bean bag etc set watch also buy drinksyou bombard try sell thing,1
absolutely beautiful husband amazing time downside public chair umbrella provide visit,1
time big surf many peddler bite away,1
area spacious there plenty restaurant food stall along walkway soft plenty wave surfer enjoy place spend hour,1
