Date,Content,review,scores,compound,sentiment
19-Dec,Wrote a previous review up our stay in Seminyak and visiting the beaches here in Bali.Found Double 6 beach filled with plastics from high to low water. Nothing in the way of locals picking up the rubbish ranging from plastic bottle tops to plastic bags and old rope. How much damage is all this rubbish doing to marine life and not to mention the tourists entering these waters... the rubbish is not from tourism but from the rivers that flood once rain has fallen. Once you look beyond the rubbish I wonder how much none seen pollutants are in there!!!?.,write previous review stay seminyak visit beach balifound double 6 fill plastic high low water nothing way local pick rubbish range plastic bottle top plastic bag old rope much damage rubbish marine life mention tourist enter water rubbish tourism river flood rain fall look beyond rubbish wonder much none see pollutant,"{'neg': 0.098, 'neu': 0.869, 'pos': 0.033, 'compound': -0.5423}",-0.5423,0
19-Dec,The beach is filthy with sea weed and dirt everywhere.  The image of beautiful blue water is an absolute distortion of the truth.  In fact this is probably the worst beach I have been to.  Regret falling for false advertising on Nusa Dua ,filthy sea weed dirt everywhere image beautiful blue water absolute distortion truth fact probably worst regret fall false advertising nusa dua,"{'neg': 0.295, 'neu': 0.508, 'pos': 0.197, 'compound': -0.4767}",-0.4767,0
19-Dec,Went for a walk at the beach to catch the sunset. Don't expect a white sandy beach. It is black sand here. Dissapointed with how dirty the beach was with lots of plastic floating around. ,go walk catch sunset dont expect white sandy black sand dissapointed dirty lot plastic float around,"{'neg': 0.162, 'neu': 0.838, 'pos': 0.0, 'compound': -0.4404}",-0.4404,0
19-Dec,Stayed in Seminyak for 5 days. Visited the beach three times and very disappointed with the amount of plastics on the beach..never been anywhere and seen such an amount of plastics from high to low water. Tourists actually walking along picking up all the debris. There are tractors on the beach raking the sand but not picking up and debris. Find it hard to believe that the tourist board/government allow tourists to swim and paddle  amongst this filth. The amount tourism brings to Bali then take some of your tourists money and pay local people to pick up the rubbish... the amount of rubbish on the beach depends upon rainfall flooding the rivers and taking it down to settle on the beaches. Anyone going in the sea comes face to face with the rubbish pity help any other unseen nasties are in the water...... expect a tourism tax to be incurred if action taken to clean up.,stay seminyak 5 day visit three time disappointed amount plastic beachnever anywhere see amount plastic high low water tourist actually walk along pick debris tractor rake sand pick debris find hard believe tourist boardgovernment allow tourist swim paddle amongst filth amount tourism bring bali take tourist money pay local people pick rubbish amount rubbish depend upon rainfall flooding river take settle beach anyone go sea come face face rubbish pity help unseen nasties water expect tourism tax incur action take clean,"{'neg': 0.145, 'neu': 0.775, 'pos': 0.08, 'compound': -0.6124}",-0.6124,0
19-Dec,The beach was not that packed however it is sad to see the amount of plastic pollution on the shore.  The seating area is adorned with faded Air Asia beach umbrellas and the odd dog or two.  More reason to be careful about where you step.  ,packed sad see amount plastic pollution shore seat area adorn faded air asia umbrellas odd dog two reason careful step,"{'neg': 0.217, 'neu': 0.643, 'pos': 0.141, 'compound': -0.4404}",-0.4404,0
19-Dec,"Flat busy beach, dark dirty sand.  Just didnt like it.  Water cleanliness quality is meant to be an issue to.",flat busy dark dirty sand didnt water cleanliness quality mean issue,"{'neg': 0.225, 'neu': 0.775, 'pos': 0.0, 'compound': -0.4404}",-0.4404,0
19-Dec,Nothing is better then hiring a sunbed for the day ($5) and taking in the sun and surf. Of course people watching is at its prime!!,nothing well hiring sunbed day 5 take sun surf course people watch prime,"{'neg': 0.142, 'neu': 0.858, 'pos': 0.0, 'compound': -0.2057}",-0.2057,0
19-Dec,This is not the cleanest beach in the world but it has an appeal especially at sunset.Lovely walk along the beach here.,clean world appeal especially sunsetlovely walk along,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.4019}",0.4019,1
19-Dec,"Not the best beach however well used by tourist and locals, they are making an effort to clean it daily but could be better... many activities available for people to try...",best well use tourist local make effort clean daily well many activity available people try,"{'neg': 0.0, 'neu': 0.498, 'pos': 0.502, 'compound': 0.8779}",0.8779,1
19-Dec,better than Canggu. nicer friendly vibes. many nice places around good food good yoga good massage and good accommodations around here ,well canggu nicer friendly vibe many nice place around good food good yoga good massage good accommodation around,"{'neg': 0.0, 'neu': 0.307, 'pos': 0.693, 'compound': 0.9666}",0.9666,1
18-Dec,You know this beach isn't so special but it's very fun place to catch the sunset. See it thru yourself,know isnt special fun place catch sunset see thru,"{'neg': 0.415, 'neu': 0.585, 'pos': 0.0, 'compound': -0.6072}",-0.6072,0
18-Dec,"Spent here 6 days during Xmas. (if you want to read more on my discoveries on Bali beaches, read my reviews about Sanur and Seminyak beaches, I refer here also to those texts)The devastating plastic explosion here was a shock. And, no comfort did we receive which was the case in Semiyak, from armies of cleaners and comforting words: this is only few days.The Beaches kilometres long full of plastic, and NO ONE cleaning them. The beach shag keepers just waited and let the sea come and take it back.Here the locals don't even say it to last only a few days, but even months, the rainy season. And they directly say it is balinese own fault: the trash comes from rivers, and the rainy seasons lift the rivers to flooding, which empties the carbage into ocean.Ugly, awful.  Update on day 4: Around the Finns Beach Club we found some 300m long streak of beach, which was clean. Maybe the currents had spared this, and would imagine that here they do clean. Update on the last day: Ok, the Canggu beach consist of many shorter strips, my comments concern the area between the Pantai Kayu Putih and Pantai Batu Bolong beaches (according to google maps).",spent 6 day xmas want read discovery bali beach read review sanur seminyak beach refer textsthe devastate plastic explosion shock comfort receive case semiyak army cleaner comfort word daysthe beach kilometre long full plastic one cleaning shag keeper wait let sea come take backhere local dont even say last day even month rainy season directly say balinese fault trash come river rainy season lift river flood empty carbage oceanugly awful update day 4 around finn club find 300m long streak clean maybe current spar imagine clean update last day ok canggu consist many short strip comment concern area pantai kayu putih pantai batu bolong beach accord google map,"{'neg': 0.135, 'neu': 0.74, 'pos': 0.125, 'compound': -0.296}",-0.296,0
18-Dec,"We were staying at jimbaran and we caugth a taxi to Canggu as we had been told from locals to go there.We paid 200k rupias (one way) and we spend almost 2 hours to arrive there due of the traffic.It absolutely didn't worth it!The black sand beach is small, crowded, and everything is overpriced. Kids could not swim because of the big waves.Went to an italian restaurant for lunch and it was just average and they only serves salad as a gluten free option (my husband is celiac)The worst thing happened when we tried to catch a taxi to back to our hotel. Local drivers are very rude and after a long bargain with a few drivers, we paid 450k rupias for the same trip that we paid only 200k in the morning!We only throw a day of our holiday...Definetely not a place to go!",stay jimbaran caugth taxi canggu tell local go therewe pay 200k rupias one way spend almost 2 hour arrive due trafficit absolutely didnt worth itthe black sand small crowd everything overpriced kid swim big waveswent italian restaurant lunch average serf salad gluten free option husband celiacthe bad thing happen tried catch taxi back hotel local driver rude long bargain driver pay 450k rupias trip pay 200k morningwe throw day holidaydefinetely place go,"{'neg': 0.157, 'neu': 0.78, 'pos': 0.063, 'compound': -0.6751}",-0.6751,0
18-Dec,"I stayed at one of the new boutique hotel in Seminyak, obviously hit to the beach is one of the 'must do'. I was very disappointed with the condition of the beach. If it is a 3rd world countries with no international brand presence, I can probably able to accept as I have been to other rural beach area within Indonesia, the 'green effort',  'waste management' and 'CSR' are almost unheard.This is Bali, it appears in the touristy world map.It seems no one bothers, but it does bothers me as a tourist. I have been to Bali easily 25 times in my life, this is the worst I have seen in Bali beaches.Shame to the authority as no good effort has been put in!Shame to the local establishment. Are they not conscious of it at all?Shame to the tourist, if any of tourist has contributed to this mess!Shame to the local, as I has seen many of them are the culprit of litteringShame to the international organisations on the island. Where is their CSR? Helping the poor and unfortunate are important,  but if the fundamentals of cleanliness are not been taking care of, tourism will suffer and the ripple effect can be drastic. I am disappointed. ",stay one new boutique hotel seminyak obviously hit one must disappoint condition 3rd world country international brand presence probably able accept rural area within indonesia green effort waste management csr almost unheardthis bali appear touristy world mapit seem one bother bother tourist bali easily 25 time life bad see bali beachesshame authority good effort put inshame local establishment conscious allshame tourist tourist contribute messshame local see many culprit litteringshame international organisation island csr help poor unfortunate important fundamental cleanliness take care tourism will suffer ripple effect drastic disappoint,"{'neg': 0.227, 'neu': 0.626, 'pos': 0.147, 'compound': -0.8807}",-0.8807,0
