Date,Content,review,scores,compound,sentiment
Oct 2019,"Beautiful and pristine Bech with clear waters. Enjoyed a lot of water sports also like water scooter, parachutes, sea walk. A nice combination of adventure and relaxation",beautiful pristine bech clear water enjoy lot water sport water scooter parachute sea walk nice combination adventure relaxation,"{'neg': 0.0, 'neu': 0.397, 'pos': 0.603, 'compound': 0.9531}",0.9531,positive
Oct 2019,Beautiful and stunning view of the beach. Clear blue sky . The landscpae of this place itself is so breathtaking i cannot explain with my own words.,beautiful stun view clear blue sky landscpae place breathtaking explain word,"{'neg': 0.0, 'neu': 0.457, 'pos': 0.543, 'compound': 0.8591}",0.8591,positive
Dec 2019,You arrifve and are immeditely overwhelmed by the natural beauty/serinity; you can stay there all day take in the natural beauty of the location.  ,arrifve immeditely overwhelmed natural beautyserinity stay day take natural beauty location,"{'neg': 0.0, 'neu': 0.412, 'pos': 0.588, 'compound': 0.8402}",0.8402,positive
Aug 2019,"Nusa Dua are the best beaches I saw on Bali. Nusa Dua is all about beach walking, sunbathing, swimming or water sports. Walking along this beach in the evening is very relaxing.",nusa dua best beach saw bali nusa dua walk sunbathe swimming water sport walk along even relax,"{'neg': 0.0, 'neu': 0.679, 'pos': 0.321, 'compound': 0.7964}",0.7964,positive
Dec 2019,Move to the central area. Wave and tides clean away plastic scraps and alga. Much cleaner and easy swimming,move central area wave tide clean away plastic scrap alga much clean easy swimming,"{'neg': 0.0, 'neu': 0.57, 'pos': 0.43, 'compound': 0.8074}",0.8074,positive
Nov 2019,Truly a remarkable and pristine area. Can thoroughly recommend the whole area. Such a pleasure to meander along the whole area. ,truly remarkable pristine area thoroughly recommend whole area pleasure meander along whole area,"{'neg': 0.0, 'neu': 0.409, 'pos': 0.591, 'compound': 0.9184}",0.9184,positive
Sep 2019,"I first reviewed Nusa Dua beach in 2018 and commented that in late November/December the water was absolutely full of rubbish and gave it only 3 stars because of that. I want to give credit where its due and say that 12 months later it was absolutely stunning and not a single bit of rubbish could be seen. The water was warm and crystal clear, the sand well kept and plenty of time has been spent making the place look great.WI was told by a few people that the rubbish situation is seasonal as particular currents and water flows bring the rubbish into the area but that its soon flushed out. Based on my two visits (so far) that seems to be the case.So its only fair that I mention that in September 2019 it was fantastic and postcard perfect. We all enjoyed going for walks from the Novotels 2.28 Beach Club up to the Waterblow. Lots of great little bars and places to eat you can just stop in by the way and plenty of squirrels everywhere for people to feed ;)Hope its the same this later this year when we return - easily one of the best beaches in Bali, much better than the tourist traps over in Kuta/Legian. The black sand beaches up in Tabanan and Tanah Lot  are only better because there's no-one on them :)",first review nusa dua 2018 comment late novemberdecember water absolutely full rubbish give 3 star want give credit due say 12 month later absolutely stun single bit rubbish see water warm crystal clear sand well keep plenty time spend make place look greatwi tell people rubbish situation seasonal particular current water flow bring rubbish area soon flush base two visit far seem caseso fair mention september 2019 fantastic postcard perfect enjoy go walk novotels 228 club waterblow lot great little bar place eat stop way plenty squirrel everywhere people fee hope later year return easily one best beach bali much well tourist trap kutalegian black sand beach tabanan tanah lot good there noone,"{'neg': 0.032, 'neu': 0.672, 'pos': 0.296, 'compound': 0.9876}",0.9876,positive
May 2019,It was nice to place to relax beach! It was great to be for swiming. It was very clean and quite water to dove in! Will recommend it,nice place relax great swiming clean quite water dove will recommend,"{'neg': 0.0, 'neu': 0.286, 'pos': 0.714, 'compound': 0.9325}",0.9325,positive
Oct 2019,"Nice, clean and long beach with cafes and restaurants. Also has green walking territory. Especially great for early morning photosets at sunrise time ",nice clean long cafes restaurant green walk territory especially great early morning photosets sunrise time,"{'neg': 0.0, 'neu': 0.548, 'pos': 0.452, 'compound': 0.8718}",0.8718,positive
Jun 2019,A very good beach maintained by the hotels. It is cleaner than say Kuta beach and less busier.We went for a dip in the sea but much preferred to swim in the hotel pool. There is a safe swimming area.You will have people wandering around selling stuff and boat trips but they do not hassle you too much. Just say a polite no.I found it a nice play to relax and enjoy the sun.,good maintain hotel cleaner say kuta less busierwe go dip sea much prefer swim hotel pool safe swimming areayou will people wander around sell stuff boat trip hassle much say polite noi find nice play relax enjoy sun,"{'neg': 0.0, 'neu': 0.622, 'pos': 0.378, 'compound': 0.9501}",0.9501,positive
